system:index,DEM,Green,Green_contrast,Green_corr,Green_diss,NDRE,NDVI,NDWI,Near-Infrared,Near-Infrared_contrast,Near-Infrared_corr,Near-Infrared_diss,OSAVI,RGVI,Red,Red-Edge,Red-Edge_contrast,Red-Edge_corr,Red-Edge_diss,Red_contrast,Red_corr,Red_diss,label,name,random,.geo
00000000000000000000,-31.739332,14457,888822.9375000001,-0.24333107382253333,677.1875,-0.03854740411043167,0.022891784,-0.21995306,22610,3672135.4375,-0.2923644633015803,1267.8541666666667,0.022891701441543823,-0.19805852,21598,24423,4661965.4375,7.920851599772863E-4,1604.4374999999998,186390.3125,-0.25690323738039644,278.0625,0,Unvegetated,0.9683030861105703,"{""type"":""Point"",""coordinates"":[-121.75921452675722,36.812117664924564]}"
00000000000000000001,-31.772474,15730,6075111.770833333,-0.28920200070940083,1632.2291666666665,0.09848572313785553,0.16171227,-0.28886276,28509,2.2554097041666668E7,-0.4134281034323365,3983.5416666666665,0.16171174438419955,-0.13338108,20572,23397,1.2056889541666668E7,-0.24140109330864917,2722.25,1450748.7291666665,0.13873267281059082,1015.6041666666666,0,Unvegetated,0.03982390279777981,"{""type"":""Point"",""coordinates"":[-121.75921452675722,36.812117664924564]}"
00000000000000000002,-31.767956,13687,5930148.229166666,-0.07980129017576011,2147.9375,0.0056144436821341515,0.0056378716,-0.22387297,21583,2.3617365854166664E7,-0.05983188707276546,4321.145833333333,0.005637850571799191,-0.21851091,21341,21342,1.2481273645833336E7,-0.14150986222232348,2523.520833333333,1437971.7291666667,0.16893224535146334,962.3541666666666,0,Unvegetated,0.690892197467572,"{""type"":""Point"",""coordinates"":[-121.75921006765614,36.812117664924564]}"
00000000000000000003,-31.747698,14976,19388.75,-0.04187823617388265,79.79166666666666,-0.06084427237510681,0.016074162,-0.22943144,23894,1084588.4375,0.15865038735507767,879.8958333333333,0.01607410758936013,-0.21414703,23138,26990,4.417423975E7,-0.13818317172223035,5000.875,1126303.4375,0.17126742153581986,855.9375,0,Unvegetated,0.3964735423861252,"{""type"":""Point"",""coordinates"":[-121.75921006765614,36.812117664924564]}"
00000000000000000004,-31.752472,15985,3376354.4791666665,-0.06256693524439429,1386.1041666666665,0.0351407416164875,0.14551774,-0.24218361,26202,1.2846745416666664E7,-0.08560103290219098,2498.083333333333,0.1455172299220323,-0.10019702,19545,24423,1.1762139291666666E7,-0.023346033137697925,2705.666666666667,1713279.2291666665,-0.3303671908575819,1106.5625,0,Unvegetated,0.5715664622041554,"{""type"":""Point"",""coordinates"":[-121.75921006765614,36.812117664924564]}"
00000000000000000005,-31.734335,11655,8988607.375,-0.24799822269777652,2653.7916666666665,0.05877174809575081,-0.027926069,-0.32448488,22852,3088950.458333333,-0.07358220176309671,1383.375,-0.027925974261312252,-0.34924623,24165,20315,2.13826871875E7,-0.10850211609125257,3284.604166666667,844975.8958333333,0.218448929123216,780.3541666666666,0,Unvegetated,0.5285053068909751,"{""type"":""Point"",""coordinates"":[-121.75921006765614,36.812117664924564]}"
00000000000000000006,-31.767223,14202,2997327.020833334,-0.21190179719923927,1452.5208333333333,0.11294388025999069,0.07041235,-0.27851862,25167,6057853.458333334,-0.07601671291456907,1796.5833333333333,0.07041211181894198,-0.21226913,21856,20059,1707179.8958333335,-0.44454467352172766,1133.6458333333335,3109834.8958333335,0.14915280900439606,1336.8958333333333,0,Unvegetated,0.1784016471442007,"{""type"":""Point"",""coordinates"":[-121.75921006765614,36.812117664924564]}"
00000000000000000007,-31.756023,14971,1688862.5,-0.256390868198753,867.8749999999999,0.0893431007862091,0.059646588,-0.24932936,24916,4111145.6875,-0.3062078363457601,1535.0208333333333,0.05964638306884787,-0.19254625,22111,20829,2.759553220833333E7,-0.2561124783444757,3663.375,1062429.4166666667,0.03021007257702886,737.9166666666667,0,Unvegetated,0.26044066148261014,"{""type"":""Point"",""coordinates"":[-121.75921006765614,36.812117664924564]}"
00000000000000000008,-31.743593,17280,6352565.5625,-0.13511156825350248,2057.8125,0.16441680490970612,0.12952621,-0.25366044,29026,1.3209590520833332E7,-0.08689451021834231,2912.854166666667,0.12952581527132126,-0.12835129,22369,20829,2.048799406041667E8,0.057178264008152624,7329.354166666666,974150.625,0.044481771901035846,812.8333333333333,0,Unvegetated,0.2274366456909508,"{""type"":""Point"",""coordinates"":[-121.75921006765614,36.812117664924564]}"
00000000000000000009,-31.740715,15215,1056942.3125,-0.0722756165582351,736.8125,0.0833369567990303,0.12739776,-0.24180889,24920,2705662.708333333,-0.12384364096441268,1300.0416666666667,0.1273972949790265,-0.11804771,19288,21086,1.0238815229166666E7,0.12060577833648772,2758.8125,572748.8958333333,0.11627768707452757,641.2708333333333,0,Unvegetated,0.6485676184084933,"{""type"":""Point"",""coordinates"":[-121.75921006765614,36.812117664924564]}"
