system:index,Blue,Blue_contrast,Blue_corr,Blue_diss,DEM,Green,Green_contrast,Green_corr,Green_diss,NDVI,NDWI,Near-Infrared,Near-Infrared_contrast,Near-Infrared_corr,Near-Infrared_diss,OSAVI,RGVI,Red,Red_contrast,Red_corr,Red_diss,label,name,random,.geo
00000000000000000185,146,54.7193727752357,-0.02385744878315712,5.106995402409396,1.9235537,150,50.07683891736212,0.06418690293884172,5.18318940958437,0.23338908,-0.25782582,255,0.0,1.0,0.0,0.23329879472090198,-0.02600294,159,52.03504767429876,0.034469987545542896,5.445982650991536,0,Unvegetated,0.5660234035306202,"{""type"":""Point"",""coordinates"":[-121.75525484502172,36.80481365739901]}"
0000000000000000018a,142,29.077140964420312,0.2291436231970722,4.464026044113572,1.9250613,144,33.226979968501176,0.2107946035502819,4.822894212901384,0.25427964,-0.2767734,255,0.0,1.0,0.0,0.25417958948484093,-0.02419582,152,30.367245548719673,0.23150603746818182,4.719744370878472,0,Unvegetated,0.3696267238699662,"{""type"":""Point"",""coordinates"":[-121.75525484502172,36.80481365739901]}"
00000000000000000235,152,3.605284547233742,-0.03978244885611534,1.333974092769565,1.9287775,157,6.542075131864209,0.11556043664021605,2.0431883575324368,0.21591143,-0.2385662,255,0.0,1.0,0.0,0.21582910232666136,-0.023887122,164,4.249284282645499,0.07815509366339206,1.703669742919685,0,Unvegetated,0.7467172625736336,"{""type"":""Point"",""coordinates"":[-121.75525484502172,36.80481365739901]}"
00000000000000000164,168,30.808393686714695,0.181677661208662,4.52946564622041,1.9309176,175,29.942842443409916,0.1972889175800053,4.3691514609958855,0.17603354,-0.18674836,255,0.0,1.0,0.0,0.175968585413846,-0.011079587,179,32.54847740221093,0.200415861944506,4.538435460448848,0,Unvegetated,0.7709162453045958,"{""type"":""Point"",""coordinates"":[-121.75528159962803,36.80480919829796]}"
0000000000000000016c,121,123.12881896153341,0.012504115240684309,8.735243281090089,1.9227967,123,137.85951648236465,0.037767277617529384,8.935536112377537,0.33351344,-0.35095993,255,0.0,1.0,0.0,0.33337396196320307,-0.019758577,127,140.12584037142665,0.0365125057607493,9.080849861421255,0,Unvegetated,0.5509783769287949,"{""type"":""Point"",""coordinates"":[-121.75528159962803,36.80480919829796]}"
00000000000000000054,148,23.978868432866715,0.2695801925475695,3.7955624370109184,1.9192355,158,21.73666150215054,0.3644917020729968,3.5515747907393878,0.20676954,-0.23641972,255,0.0,1.0,0.0,0.20669127114679176,-0.031176407,168,24.983125103063646,0.23728928395609672,3.9592446627622544,0,Unvegetated,0.7878420935355868,"{""type"":""Point"",""coordinates"":[-121.75529943603226,36.80480473919691]}"
000000000000000000a0,155,4.219328581852287,-0.0012523518966505898,1.6831927924834362,1.9294002,164,6.184736661827024,-0.24157088551277658,1.7921577742200956,0.18875714,-0.21710084,255,0.0,1.0,0.0,0.18868677937071168,-0.02955494,174,1.668991211382993,-0.07864150341642293,1.046717525234352,0,Unvegetated,0.38101026484909817,"{""type"":""Point"",""coordinates"":[-121.75529943603226,36.80480473919691]}"
00000000000000000210,145,32.27142254149843,0.17978073840296566,4.720578897947169,1.9247521,155,36.0708471757066,0.19639999116189147,5.180669806720067,0.21312505,-0.24466173,255,0.0,1.0,0.0,0.2130439456333343,-0.033284985,165,28.83263989044931,0.17954811449198782,4.581882016773839,0,Unvegetated,0.3298692721836022,"{""type"":""Point"",""coordinates"":[-121.75529943603226,36.80480473919691]}"
000000000000000000b1,157,10.890518278887368,-0.029817857082857772,2.6473457069108335,1.9209089,164,14.540359322388493,-0.05571311864586233,3.139500738378208,0.19855212,-0.21608116,255,0.0,1.0,0.0,0.1984774845945198,-0.01831874,171,11.984802357647474,-0.10578027450824268,2.8276915275323216,0,Unvegetated,0.4206022350894182,"{""type"":""Point"",""coordinates"":[-121.75529497693118,36.80480473919691]}"
000000000000000000c0,154,33.4990254406171,0.0044226713274028995,4.2556696804315814,1.9233944,160,31.34682644923361,0.21772702924671597,4.445068249648012,0.20815001,-0.22815503,255,0.0,1.0,0.0,0.20807113031129976,-0.021007568,167,31.58814947538106,0.19299362855001173,4.265766931673998,0,Unvegetated,0.2552613170713096,"{""type"":""Point"",""coordinates"":[-121.75529497693118,36.80480473919691]}"
