system:index,NDVI,Near-Infrared,Near-Infrared_contrast,Near-Infrared_corr,Near-Infrared_diss,OSAVI,Red,Red_contrast,Red_corr,Red_diss,label,name,random,.geo
000000000000000002d6,-0.75757575,20,4.729166666666666,-0.23221599064272003,1.3125,-0.7568418503269557,145,4.375,0.03914863879156951,1.625,0,Unvegetated,0.3990314872754168,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81139974965495]}"
000000000000000002df,-0.64772725,31,6.375,0.004562217818132881,2.0,-0.6471389645776567,145,9.125,-0.12913837558899185,2.1666666666666665,0,Unvegetated,0.11722963440387146,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81139974965495]}"
000000000000000002e2,-0.7278106,23,8.895833333333332,0.23351953917280416,2.5625,-0.727122251123197,146,6.9375,0.2914527922712056,2.2708333333333335,0,Unvegetated,0.320068339473806,"{""type"":""Point"",""coordinates"":[-121.75958463214462,36.81139974965496]}"
000000000000000002e4,-0.7076023,25,4.875,0.40792354854855234,1.875,-0.7069408740359897,146,21.958333333333332,0.3009012377659517,4.166666666666667,0,Unvegetated,0.5552027722028477,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81139974965495]}"
000000000000000002e8,-0.75,21,5.125,0.11816982568518933,1.875,-0.7492863939105614,147,5.875,0.1506750721303633,2.125,0,Unvegetated,0.41255592525346907,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81140866785706]}"
000000000000000002ea,-0.7294118,23,0.7708333333333334,0.002214324767631226,0.6875,-0.7287259050305595,147,4.625,-0.16915874770052058,1.625,0,Unvegetated,0.1641913412678565,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81140866785706]}"
000000000000000002ec,-0.7294118,23,0.3125,-0.030158730158677788,0.3125,-0.7287259050305595,147,1.4791666666666667,0.30144808133581624,1.0208333333333333,0,Unvegetated,0.23030999825932974,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81140866785706]}"
000000000000000002ed,-0.7294118,23,3.375,0.2655914232004947,1.625,-0.7287259050305595,147,0.625,0.3199152542379612,0.5,0,Unvegetated,0.6324907326864535,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.811404208756]}"
000000000000000002f0,-0.6896552,27,1.5833333333333333,-0.08549320778019155,0.9583333333333333,-0.6890215893431327,147,3.125,0.3316879263657354,1.4166666666666665,0,Unvegetated,0.4819109043353259,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.811404208756]}"
000000000000000002f1,-0.68,28,4.625,0.1360689111400098,1.625,-0.6793788536195479,147,3.8958333333333335,0.355581034052023,1.6874999999999998,0,Unvegetated,0.5660638073938514,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.811404208756]}"
000000000000000002f4,-0.73099416,23,2.4375,0.13454092279157928,1.3125,-0.7303108202851134,148,0.625,0.14492753623188406,0.625,0,Unvegetated,0.39523043904875566,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81140866785706]}"
000000000000000002f6,-0.7209302,24,4.8125,0.42444868992352747,1.8125,-0.7202602230483272,148,5.958333333333333,0.23221498896363824,2.083333333333333,0,Unvegetated,0.8413821654295829,"{""type"":""Point"",""coordinates"":[-121.75958463214462,36.81139974965496]}"
000000000000000002fb,-0.7426901,22,0.875,-0.17851284855107036,0.6666666666666666,-0.7419957934096751,149,0.8541666666666666,0.23295110686344986,0.7291666666666666,0,Unvegetated,0.9434562011623429,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.8114131269581]}"
000000000000000002fc,-0.7426901,22,3.1458333333333335,0.28160664735245494,1.5208333333333335,-0.7419957934096751,149,9.958333333333332,0.3328271028036517,2.5,0,Unvegetated,0.41355277507698474,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81140866785706]}"
000000000000000002fe,-0.73255813,23,0.6874999999999999,-0.07114624505924157,0.5625,-0.7318773234200744,149,4.875,0.4079235485486238,1.875,0,Unvegetated,0.5816793055303077,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81140866785706]}"
00000000000000000306,-0.75438595,21,2.9375,-0.0077293178871706,1.3541666666666665,-0.753680766534237,150,4.645833333333333,0.2111384760784888,1.8541666666666665,0,Unvegetated,0.9858684595409132,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.811404208756]}"
00000000000000000307,-0.74418604,22,12.958333333333332,0.27778387711991515,3.208333333333333,-0.7434944237918216,150,55.9375,0.25307234932831435,6.4375,0,Unvegetated,0.43743031788755105,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81139974965495]}"
00000000000000000309,-0.73410404,23,0.75,0.2500000000000142,0.75,-0.7334257334257335,150,0.4166666666666667,0.12380952380769442,0.4166666666666667,0,Unvegetated,0.633599102529055,"{""type"":""Point"",""coordinates"":[-121.75958463214462,36.81140866785706]}"
0000000000000000030b,-0.7241379,24,2.0416666666666665,-0.1969597262437571,1.0833333333333333,-0.7234726688102894,150,2.1458333333333335,-0.09737766808945705,1.2291666666666667,0,Unvegetated,0.5178664572071627,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81140866785706]}"
0000000000000000030c,-0.7241379,24,3.3541666666666665,-0.053504513711463114,1.2291666666666667,-0.7234726688102894,150,3.4374999999999996,-0.028755327584681696,1.479166666666667,0,Unvegetated,0.06335826680642442,"{""type"":""Point"",""coordinates"":[-121.75958463214462,36.81140866785706]}"
0000000000000000030e,-0.75581396,21,3.9583333333333326,0.21178295099331773,1.7083333333333333,-0.7551115241635687,151,1.8125,0.18310863365247323,1.1458333333333335,0,Unvegetated,0.9571032622582446,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.8114131269581]}"
00000000000000000314,-0.7356322,23,4.020833333333333,-0.012324385921556213,1.6458333333333333,-0.7349563619660083,151,0.3125,-0.030158730158148087,0.3125,0,Unvegetated,0.7810094246992766,"{""type"":""Point"",""coordinates"":[-121.7595757139425,36.8114131269581]}"
00000000000000000315,-0.72571427,24,0.5208333333333333,-0.19404761904757495,0.5208333333333333,-0.7250513815939712,151,19.583333333333332,0.2774182399519554,3.9166666666666665,0,Unvegetated,0.8771579803595241,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.811404208756]}"
00000000000000000317,-0.72571427,24,2.458333333333333,0.1453172599005935,1.2916666666666665,-0.7250513815939712,151,6.479166666666666,0.01916580275958335,2.1458333333333335,0,Unvegetated,0.7499528470610022,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.8114131269581]}"
0000000000000000031a,-0.71590906,25,6.041666666666667,0.3953708127621173,1.9166666666666665,-0.715258855585831,151,13.291666666666666,0.16007317922627123,3.125,0,Unvegetated,0.3338112911591635,"{""type"":""Point"",""coordinates"":[-121.75958463214462,36.81139974965496]}"
0000000000000000031c,-0.6966292,27,3.5625,0.0791987927608864,1.6041666666666665,-0.6960035922766054,151,2.9374999999999996,0.15876619572116268,1.3541666666666665,0,Unvegetated,0.17175321002317934,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81140866785706]}"
0000000000000000031d,-0.68715084,28,6.6875,-0.10966802658420814,2.1875,-0.6865371734762223,151,14.0,0.1535631909102519,2.916666666666667,0,Unvegetated,0.03735584042046114,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.811404208756]}"
0000000000000000031e,-0.68715084,28,3.2083333333333335,-0.20166533652565188,1.5,-0.6865371734762223,151,12.374999999999998,0.185719396395037,3.083333333333333,0,Unvegetated,0.9928203515066147,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.811404208756]}"
00000000000000000325,-0.74712646,22,3.083333333333333,0.29340194396798075,1.3333333333333333,-0.7464400551217272,152,3.708333333333333,-0.13193494052105903,1.5416666666666665,0,Unvegetated,0.2582156602934008,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81140866785706]}"
00000000000000000326,-0.74712646,22,1.6458333333333333,-0.48683966635772064,1.0625,-0.7464400551217272,152,4.958333333333333,0.020508110048648304,1.9166666666666665,0,Unvegetated,0.338027971581802,"{""type"":""Point"",""coordinates"":[-121.75958463214462,36.81139974965496]}"
0000000000000000032b,-0.698324,27,7.229166666666666,-0.014713077366402164,2.3125,-0.6977003795490064,152,6.666666666666667,-0.03772718253703369,2.208333333333333,0,Unvegetated,0.6506624909074326,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81140866785706]}"
00000000000000000330,-0.7586207,21,6.437499999999999,0.25095511283304434,2.2291666666666665,-0.757923748277446,153,2.708333333333333,0.3667748917742862,1.375,0,Unvegetated,0.014348495571624764,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.8114131269581]}"
00000000000000000331,-0.74857146,22,4.020833333333333,0.22923508320226038,1.7708333333333335,-0.7478876455811829,153,13.479166666666666,0.2817978329211881,3.104166666666667,0,Unvegetated,0.2852563241126165,"{""type"":""Point"",""coordinates"":[-121.75958463214462,36.81139974965496]}"
00000000000000000332,-0.74857146,22,0.4166666666666667,0.12380952380949689,0.4166666666666667,-0.7478876455811829,153,8.3125,0.3874077923670242,2.4375,0,Unvegetated,0.21110293779617095,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81139974965495]}"
00000000000000000333,-0.7386364,23,1.1041666666666665,0.060770943009574786,0.7708333333333334,-0.7379654859218892,153,21.25,0.2458871885414935,4.041666666666666,0,Unvegetated,0.35347220477811314,"{""type"":""Point"",""coordinates"":[-121.7595757139425,36.81140866785705]}"
00000000000000000335,-0.7386364,23,1.1041666666666667,0.04057993257872841,0.7708333333333333,-0.7379654859218892,153,2.6875000000000004,-0.15111445377079616,1.2708333333333333,0,Unvegetated,0.4930749635235173,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.8114131269581]}"
00000000000000000337,-0.7288136,24,6.375,-0.20274803184666584,1.9583333333333335,-0.7281553398058253,153,19.0625,0.24089730795911457,3.895833333333333,0,Unvegetated,0.648668977661502,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.811404208756]}"
00000000000000000338,-0.7288136,24,1.3541666666666665,0.054138958782648156,0.9375,-0.7281553398058253,153,5.020833333333334,0.3865894235717438,1.9375,0,Unvegetated,0.5920967265920154,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81140866785706]}"
0000000000000000033e,-0.7206704,25,0.8333333333333334,0.008274102423894359,0.7083333333333334,-0.7200267916945747,154,2.4374999999999996,0.18780560122663575,1.2708333333333333,0,Unvegetated,0.8706160815499145,"{""type"":""Point"",""coordinates"":[-121.75958463214462,36.81140866785706]}"
0000000000000000033f,-0.7206704,25,11.5625,0.23530497479141163,2.9375,-0.7200267916945747,154,56.104166666666664,0.24492982449726924,6.5625,0,Unvegetated,0.7044194570605968,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81139974965495]}"
00000000000000000341,-0.7111111,26,6.374999999999999,0.07447491237913414,2.0,-0.7104795737122558,154,7.125,0.2449585920635031,2.2499999999999996,0,Unvegetated,0.8345123539103776,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.8114131269581]}"
00000000000000000342,-0.7016575,27,5.020833333333333,0.389467627752772,1.9375,-0.7010377566791787,154,5.541666666666667,0.3731056264656121,1.875,0,Unvegetated,0.8386004741742783,"{""type"":""Point"",""coordinates"":[-121.75958463214462,36.81139974965496]}"
00000000000000000344,-0.66486484,31,13.375,0.037797005899499476,3.125,-0.6642903434867142,154,9.958333333333332,0.3047669454974078,2.708333333333333,0,Unvegetated,0.9140227990903221,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.8114131269581]}"
00000000000000000346,-0.7714286,20,5.916666666666666,-0.447154674290979,2.125,-0.7707239095683946,155,10.145833333333334,0.2435519475856293,2.7708333333333335,0,Unvegetated,0.3763431114953456,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.811404208756]}"
0000000000000000034c,-0.7032967,27,3.25,0.14134589972368175,1.5,-0.7026789635485288,155,7.916666666666667,0.23977202624415656,2.1666666666666665,0,Unvegetated,0.4128659039009077,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81140866785706]}"
0000000000000000034d,-0.6847826,29,14.625,0.295195195675581,3.375,-0.6841876629018245,155,11.166666666666668,0.3704651084208799,2.875,0,Unvegetated,0.6770299246419798,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.8114131269581]}"
0000000000000000035b,-0.74444443,23,6.125,0.030502968232746955,1.9999999999999998,-0.7437833037300178,157,5.729166666666667,-0.012140101942352738,1.8541666666666665,0,Unvegetated,0.2175980604772232,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.8114131269581]}"
0000000000000000035d,-0.70652175,27,2.5208333333333335,0.07883992366749933,1.2291666666666665,-0.7059079061685491,157,14.125,0.2815022872365894,3.208333333333333,0,Unvegetated,0.7209661285129138,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.811404208756]}"
00000000000000000367,-0.6898396,29,4.458333333333334,-0.29326309067688117,1.708333333333333,-0.6892498397093396,158,12.541666666666668,-0.32020882736672207,2.9999999999999996,0,Unvegetated,0.7353490287741332,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.811404208756]}"
0000000000000000036a,-0.6631579,32,5.75,0.18865738458843956,1.8333333333333333,-0.6625999158603282,158,4.25,0.06751899439875134,1.4583333333333335,0,Unvegetated,0.0034083649835666696,"{""type"":""Point"",""coordinates"":[-121.75958463214462,36.811404208756]}"
0000000000000000036d,-0.7282609,25,2.479166666666667,0.18530449914272337,1.3125,-0.7276281494352737,159,1.125,0.27756186902651764,0.875,0,Unvegetated,2.795749010642279E-5,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.811404208756]}"
00000000000000000370,-0.67368424,31,29.3125,0.3189270383173274,4.5625,-0.6731173748422381,159,29.041666666666664,0.2568294618478394,4.375,0,Unvegetated,0.9351334189335486,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81140866785706]}"
00000000000000000373,-0.7582418,22,1.8541666666666665,0.19207717569787808,1.0625,-0.7575757575757576,160,2.7083333333333335,0.09825698918878831,1.2916666666666665,0,Unvegetated,0.41379410081309353,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81140866785706]}"
00000000000000000376,-0.6753927,31,11.520833333333334,0.2756018252419361,3.020833333333333,-0.674827369742624,160,1.625,0.006104914079382573,1.125,0,Unvegetated,0.05165025647916155,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.8114131269581]}"
00000000000000000377,-0.6666667,32,4.354166666666667,0.11523849696327534,1.5625,-0.6661115736885929,160,6.25,0.15522638554089352,1.958333333333333,0,Unvegetated,0.7353243733875388,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.811404208756]}"
00000000000000000379,-0.75,23,0.9583333333333333,0.08800177669201467,0.7499999999999999,-0.7493483927019983,161,1.0625,0.32474671755098394,0.8125,0,Unvegetated,0.7902109726769275,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81139974965495]}"
0000000000000000037d,-0.74054056,24,6.812499999999999,0.29890253827123725,2.3541666666666665,-0.739900626485202,161,7.395833333333333,0.32791291325458594,2.3125,0,Unvegetated,0.6706726511472165,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81139974965495]}"
0000000000000000037e,-0.72192514,26,13.125,0.06136248612039881,2.708333333333333,-0.7213079717888438,161,21.979166666666668,0.09928995273939362,4.020833333333334,0,Unvegetated,0.44016188313976345,"{""type"":""Point"",""coordinates"":[-121.75958463214462,36.811404208756]}"
00000000000000000386,-0.71428573,27,15.291666666666664,0.32179537010954556,3.333333333333333,-0.7136815394375132,162,26.9375,0.3677503007276328,4.5625,0,Unvegetated,0.6882125179915882,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81140866785706]}"
0000000000000000038f,-0.6979167,29,10.270833333333332,0.14924483187829873,2.520833333333333,-0.6973355537052457,163,6.812499999999998,-0.09645307736275714,2.0625,0,Unvegetated,0.3621386286632692,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.8114131269581]}"
0000000000000000039c,-0.7553192,23,5.3125,-0.024173450686227893,1.7291666666666665,-0.7546768707482994,165,5.895833333333333,0.18265577108815634,2.0625,0,Unvegetated,0.405753830116499,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81139974965495]}"
0000000000000000039d,-0.74603176,24,2.833333333333333,0.09206483951816638,1.4583333333333335,-0.7454007189680694,165,2.854166666666666,0.3271126760560755,1.4375,0,Unvegetated,0.8167326901035307,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81139974965495]}"
000000000000000003a5,-0.7473684,24,5.291666666666666,-0.05085198519758626,1.9583333333333335,-0.7467395877156079,166,4.708333333333334,-0.037230685837531294,1.7916666666666665,0,Unvegetated,0.3993944194971326,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81139974965495]}"
000000000000000003a9,-0.7291667,26,3.375,0.1164951623629633,1.4166666666666667,-0.7285595337218984,166,2.375,-0.004824784154920894,1.0833333333333335,0,Unvegetated,0.5210805331068542,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81139974965495]}"
000000000000000003ac,-0.6852792,31,2.75,0.21065011936307576,1.4583333333333333,-0.6847230675593426,166,9.0625,0.212247682416967,2.520833333333333,0,Unvegetated,0.30715359557891064,"{""type"":""Point"",""coordinates"":[-121.75958463214462,36.81140866785706]}"
000000000000000003ad,-0.66,34,7.8125,0.20674540198380598,2.145833333333333,-0.6594724220623501,166,15.187500000000002,0.23621725111015746,3.354166666666667,0,Unvegetated,0.4913732244853548,"{""type"":""Point"",""coordinates"":[-121.75958463214462,36.81139974965496]}"
000000000000000003ae,-0.64356434,36,26.708333333333332,0.1913760335797934,4.291666666666667,-0.6430550059358924,166,42.95833333333333,0.3233208696188803,5.5,0,Unvegetated,0.09104593004951056,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81140866785706]}"
000000000000000003b2,-0.73056996,26,1.5,-0.20393749646176135,0.8749999999999999,-0.7299647960240215,167,1.0625,0.18131692070862931,0.7291666666666665,0,Unvegetated,0.8584724324440421,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81139974965495]}"
000000000000000003b4,-0.72164947,27,1.375,0.06002331002330253,0.8333333333333333,-0.7210548001648125,167,11.833333333333334,0.26331306344327926,2.9166666666666665,0,Unvegetated,0.10282647886202201,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.8114131269581]}"
000000000000000003b8,-0.74093264,25,4.395833333333333,0.13370730882254814,1.6458333333333333,-0.7403189066059226,168,4.645833333333333,0.2610417970736125,1.8541666666666665,0,Unvegetated,0.26832367505471433,"{""type"":""Point"",""coordinates"":[-121.7595757139425,36.8114131269581]}"
000000000000000003bc,-0.71428573,28,11.833333333333334,0.18079302039728526,3.0,-0.7137030995106036,168,7.854166666666666,0.3048235227307221,2.4374999999999996,0,Unvegetated,0.609018612463401,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81139974965495]}"
000000000000000003bd,-0.70558375,29,26.166666666666664,0.3408885960582936,4.541666666666667,-0.7050111584499898,168,55.041666666666664,0.43956402560775065,6.25,0,Unvegetated,0.6692276855074935,"{""type"":""Point"",""coordinates"":[-121.75958463214462,36.81139974965496]}"
000000000000000003da,-0.72727275,27,21.229166666666664,0.37578491525267704,4.0625,-0.7266855066612838,171,9.791666666666666,0.1882980777526575,2.625,0,Unvegetated,0.36161359164047846,"{""type"":""Point"",""coordinates"":[-121.75958017304355,36.81140866785706]}"
