system:index,Green,Green_contrast,Green_corr,Green_diss,NDRE,NDVI,NDWI,Near-Infrared,Near-Infrared_contrast,Near-Infrared_corr,Near-Infrared_diss,OSAVI,RGVI,Red,Red-Edge,Red-Edge_contrast,Red-Edge_corr,Red-Edge_diss,Red_contrast,Red_corr,Red_diss,label,name,random,.geo
00000000000000000014,6656,32701.145833333336,-0.160752439,148.5625,0.019121842458844185,0.13471478,-0.2851082,11965,144154.0625,0.013232845054034478,305.2708333333333,0.13471375815821968,-0.1564005,9124,11516,167962.1875,0.15855865094081975,358.4375,73934.97916666666,-0.255765341,212.6875,0,unvegetated,0.9017318366546851,"{""type"":""Point"",""coordinates"":[-121.75837621575913,36.81228265166354]}"
00000000000000000015,6669,193560.81249999997,-0.188069235,379.06249999999994,0.011896431,0.121748656,-0.29651898,12291,61700.97916666667,0.13822667368096933,202.97916666666666,0.12174776491547018,-0.18131599,9623,12002,484702.8125,-0.475287579,618.0625,110292.85416666666,-0.225827202,248.85416666666666,0,unvegetated,0.071791016,"{""type"":""Point"",""coordinates"":[-121.75837175665808,36.81228265166354]}"
00000000000000000016,9115,174860.43749999997,0.044561774,358.22916666666663,-0.008308262,0.17619328,-0.32678458,17964,344362.7291666666,0.067119441,478.4375,0.17619235936693844,-0.15979168,12582,18265,406771.9791666666,-0.088249804,483.1875,250626.4375,0.00775236,369.9791666666667,0,unvegetated,0.8963740917545272,"{""type"":""Point"",""coordinates"":[-121.75860362991288,36.8123718336846]}"
00000000000000000017,8708,42334.83333333333,-0.081940623,143.95833333333331,0.002132321,0.16630405,-0.32657954,17154,100457.14583333334,0.14935462006078484,256.9791666666667,0.16630314765761406,-0.1694802,12262,17081,155652,0.27099243612524526,332.9583333333333,54376.02083333333,0.24716922809241065,200.4375,0,unvegetated,0.7762682271072346,"{""type"":""Point"",""coordinates"":[-121.7586080890139,36.8123718336846]}"
00000000000000000018,9038,270435.4375,0.19174300023288043,447.27083333333326,0.015170106,0.18518037,-0.33641702,18202,415033.6666666666,0.1647729604401107,564.125,0.1851793974246781,-0.16128434,12514,17658,297516.4583333333,-0.042409052,419.25,174839.04166666666,0.2841888773238777,360.79166666666663,0,unvegetated,0.39782727768270976,"{""type"":""Point"",""coordinates"":[-121.7586080890139,36.8123718336846]}"
00000000000000000019,8715,122601.75,0.15542909182449513,286.4583333333333,-0.016365053,0.16409345,-0.3232382,17040,116261.58333333331,-0.015981239,280.9583333333333,0.1640925585869185,-0.1680588,12236,17607,175044.60416666663,0.030268498999251076,348.60416666666663,203535.5208333333,0.13423993023791414,373.77083333333337,0,unvegetated,0.2298982456471671,"{""type"":""Point"",""coordinates"":[-121.75862146631708,36.812371833684594]}"
0000000000000000001a,9130,222738.83333333334,0.19290819967202236,385.41666666666663,0.020703994,0.15080088,-0.3187584,17674,616050.4166666665,0.2780975155756831,645.25,0.15080010001250158,-0.17643875,13042,16957,404557.87499999994,0.051084687,489,383274.9791666666,0.11245205560610366,495.3541666666667,0,unvegetated,0.7413891297895434,"{""type"":""Point"",""coordinates"":[-121.75862146631708,36.812367374583545]}"
0000000000000000001b,8982,46489.041666666664,-0.046019632,166.29166666666666,-0.005612046,0.17112754,-0.3316467,17896,228909.625,-0.120998799,357.58333333333337,0.1711266481164944,-0.17017739,12666,18098,165643.0625,-0.082543314,300.3125,115712.39583333333,-0.098606578,284.5208333333333,0,unvegetated,0.7971455594070588,"{""type"":""Point"",""coordinates"":[-121.75860362991288,36.812367374583545]}"
0000000000000000001c,10399,645088.2083333334,0.006586789,642.8333333333333,-0.008201923,0.17993844,-0.3228495,20315,344156.8333333333,-0.204743465,493.4583333333333,0.1799375968514986,-0.15172526,14119,20651,601423.8333333334,-0.11894948,621.375,475137.04166666674,0.14148091520847866,571.375,0,unvegetated,0.793002627,"{""type"":""Point"",""coordinates"":[-121.7586080890139,36.81237629278566]}"
0000000000000000001d,8420,304546.8125,-0.00310687,483.1458333333333,-0.001199567,0.164563,-0.33932284,17069,438688.8125,0.1027811688666177,539.9791666666667,0.16456210923321699,-0.18509558,12245,17110,339830.6666666666,0.1257182197843497,510.66666666666663,320478.45833333326,0.13925655537553874,464.2083333333333,0,unvegetated,0.20860617737546983,"{""type"":""Point"",""coordinates"":[-121.75861700721603,36.8123718336846]}"
0000000000000000001e,9611,134624.875,0.12945843869939783,296.91666666666663,0.009577015,0.15831883,-0.32757294,18975,77525.5,0.20950998511055302,240.125,0.15831806211610847,-0.1785119,13788,18615,67451.39583333333,0.08848493,218.1875,57902.083333333336,0.23672552471281863,197.375,0,unvegetated,0.5061091378541319,"{""type"":""Point"",""coordinates"":[-121.75861700721603,36.8123718336846]}"
0000000000000000001f,9907,76172.54166666667,0.051087639,210.79166666666666,0.003671528,0.14951582,-0.32412335,19409,454986.1666666666,0.15474892935644516,563.2916666666666,0.14951511971277934,-0.18350023,14360,19267,241590.06249999997,0.090832101,420.60416666666663,643975.2708333333,0.019980833788689534,670.9375,0,unvegetated,0.12662980454364348,"{""type"":""Point"",""coordinates"":[-121.75860362991288,36.81237629278565]}"
