system:index,DEM,Green,Green_contrast,Green_corr,Green_diss,NDRE,NDVI,NDWI,Near-Infrared,Near-Infrared_contrast,Near-Infrared_corr,Near-Infrared_diss,OSAVI,RGVI,Red,Red-Edge,Red-Edge_contrast,Red-Edge_corr,Red-Edge_diss,Red_contrast,Red_corr,Red_diss,label,random,.geo
00000000000000000000,-31.760582,12338,3886102.104166667,0.2198652436672115,1646.6041666666665,0.06839549541473389,0.028642455,-0.21343873,19034,6792444.583333332,0.28481764446924135,2219.2916666666665,0.02864233185329938,-0.18593296,17974,16597,1837756.0416666667,0.2600435726948028,1174.625,8322520.770833332,0.21880399033147901,2400.1875,0,0.2717421654925881,"{""type"":""Point"",""coordinates"":[-121.74955611387544,36.80860835239549]}"
00000000000000000001,-31.749184,10327,1029016.8541666667,-0.10359863340622769,762.3958333333335,0.0372147411108017,0.043095388,-0.25223562,17294,4465115.145833334,-0.16227107644278102,1445.4791666666665,0.04309518093944478,-0.21143861,15865,16053,1235634.375,-0.06647929024296616,883.3333333333333,2255483.8125,-0.18119239894681752,997.8124999999999,0,0.7852139074925673,"{""type"":""Point"",""coordinates"":[-121.74958286848174,36.8086172705976]}"
00000000000000000002,-31.878593,10360,57801.729166666664,-0.12111579778941715,208.22916666666666,-0.031794872134923935,0.1369727,-0.29138166,18880,635234.2708333334,-0.1488886855268225,605.9791666666666,0.13697202988393056,-0.16082783,14331,20120,241263.79166666666,-0.1886142149409777,405.875,89783.58333333331,0.053938740547961085,238.12499999999997,0,0.2394047878844836,"{""type"":""Point"",""coordinates"":[-121.75238764304434,36.8085503840818]}"
00000000000000000003,-31.880857,12197,1450333.3541666665,0.052409368062743905,1026.2291666666665,-0.01129644550383091,0.15558782,-0.2757986,21487,1271106.1249999998,0.16315452744545658,913.3333333333333,0.15558715462125577,-0.1256004,15701,21978,1872530.4791666665,-0.12493922908820197,1041.7708333333333,1254328.6041666665,0.06336313537932912,887.0625,0,0.9660415959869798,"{""type"":""Point"",""coordinates"":[-121.75240102034752,36.80854592498074]}"
00000000000000000004,-31.832508,4364,467139.25,-0.11993926775466723,548.1666666666667,5.8833913499256596E-5,0.15987718,-0.32146466,8499,955334.8125,-0.28683134463161264,722.8958333333334,0.15987542954154033,-0.1703422,6156,8498,527254.125,-0.14475465625171968,598.9583333333334,566865.2916666666,-0.22275050206180894,624.2083333333334,0,0.00387217602426293,"{""type"":""Point"",""coordinates"":[-121.75498283985749,36.81028051529053]}"
00000000000000000005,-31.832508,4364,467139.25,-0.11993926775466723,548.1666666666667,5.8833913499256596E-5,0.15987718,-0.32146466,8499,955334.8125,-0.28683134463161264,722.8958333333334,0.15987542954154033,-0.1703422,6156,8498,527254.125,-0.14475465625171968,598.9583333333334,566865.2916666666,-0.22275050206180894,624.2083333333334,0,0.4339829774145433,"{""type"":""Point"",""coordinates"":[-121.75498283985749,36.81028051529053]}"
00000000000000000006,-31.836897,7050,512628.8333333334,-0.22059476067164624,612.0,0.061920586973428726,0.11882055,-0.26531887,12142,1273148.2083333335,-0.10155597234113922,964.9166666666666,0.1188196723728367,-0.15126708,9563,10726,186159.5625,0.14339153882486347,355.6875,747737.2916666666,0.11127862625308123,716.6666666666667,0,0.5016401139478046,"{""type"":""Point"",""coordinates"":[-121.75494716704904,36.8102938925937]}"
00000000000000000007,-31.83502,6022,495334.8541666666,-0.10002928666497306,544.5208333333334,-0.022785481065511703,0.1091064,-0.29513666,11065,875704.5416666666,-0.07522999907939677,680.9166666666666,0.10910552513987759,-0.19221999,8888,11581,874232.2291666666,-0.14226743082538126,714.3125,575953.4791666666,-0.034357229684301674,531.5208333333333,0,0.2831395796377205,"{""type"":""Point"",""coordinates"":[-121.75496054435219,36.81028943349264]}"
00000000000000000008,-31.844175,5321,192414.56249999997,0.16814892943494203,343.52083333333326,-0.011086039245128632,0.17073171,-0.30900592,10080,580311.9166666666,0.2302635473117015,627.5833333333334,0.17073012097448573,-0.14597544,7140,10306,152766.25,0.03584546400203048,299.91666666666663,696074.4375000001,0.059144034608653806,617.3958333333333,0,0.9125120407669342,"{""type"":""Point"",""coordinates"":[-121.75491595334168,36.810302810795804]}"
00000000000000000009,-31.828058,6042,1118245.5416666665,-0.1303876522133773,852.7916666666667,-0.008924816735088825,0.12549748,-0.27410343,10605,2425648.7291666665,-0.04105286225623609,1258.0208333333333,0.12549641393333885,-0.15390001,8240,10796,606794.5416666666,-0.019975569801958054,641.5416666666666,1790527.875,0.0915770717366793,1070.625,0,0.1390175596389377,"{""type"":""Point"",""coordinates"":[-121.75498283985746,36.81028943349264]}"
0000000000000000000a,-31.844286,6115,490199.4791666666,-0.16471271030974313,566.7291666666667,-0.0017146123573184013,0.106010236,-0.26303104,10480,940421.0416666666,0.14279082391426584,738.3333333333333,0.10600934190835812,-0.16152474,8471,10516,528598.2708333334,0.08947115221581009,605.8541666666666,794263.5416666666,0.01849818291841946,774.3333333333334,0,0.8159167469688193,"{""type"":""Point"",""coordinates"":[-121.75495162615012,36.81028943349264]}"
0000000000000000000b,-31.840899,7551,924671.3958333333,0.04348194926972694,809.0208333333334,0.02442595176398754,0.1279854,-0.27554446,13295,3040914.6875,0.14309316459893154,1516.9374999999998,0.12798453834784984,-0.15295306,10278,12661,1307359.5208333333,0.13630251404983443,998.9791666666666,1707067.1666666667,0.2327750678857694,1139.3333333333335,0,0.16177415973072296,"{""type"":""Point"",""coordinates"":[-121.75496946255431,36.81028943349264]}"
0000000000000000000c,-31.837229,7159,587795.375,-0.15278151930900594,661.125,0.0220138281583786,0.076330766,-0.28477946,12860,1487477.375,-0.27574013155888494,1024.375,0.07633025557244344,-0.21308051,11036,12306,368781.8541666666,0.03002174194943069,469.22916666666663,1605078.375,-0.20102560978900835,1110.4583333333333,0,0.19107057337760114,"{""type"":""Point"",""coordinates"":[-121.75493824884693,36.81029835169475]}"
0000000000000000000d,-31.837639,5016,193587.12499999997,-0.31529536563580396,359.7083333333333,-0.06217644736170769,0.0934621,-0.2634902,8605,659492.875,-0.3026212523807481,674.2916666666666,0.09346115040446885,-0.17432098,7134,9746,743773.6875,-0.2897917023835155,694.8541666666667,583657.375,-0.21776397907060724,626.5,0,0.9497347032730322,"{""type"":""Point"",""coordinates"":[-121.75494270794798,36.8102938925937]}"
0000000000000000000e,-31.83865,4858,832870.75,0.3578982777013475,723.375,-0.002233567414805293,0.1448621,-0.3176487,9381,2605396.0833333335,0.36140715019728653,1195.9583333333333,0.14486067990549276,-0.18112095,7007,9423,1451478.4166666667,0.3502301998511184,963.0000000000001,1872271.8958333333,0.3904866680056339,1090.1458333333333,0,0.19620108540439396,"{""type"":""Point"",""coordinates"":[-121.75497838075641,36.81028497439159]}"
0000000000000000000f,-31.842943,6097,56647.97916666667,-0.07469493016904556,196.3125,-0.013047178275883198,0.12921196,-0.2625786,10439,105233.35416666666,0.30860272692951535,277.52083333333337,0.12921084570634903,-0.13805047,8050,10715,112083.81249999999,-0.23152916893061493,276.02083333333337,106819.625,0.2308987613222805,274.125,0,0.9825412595542347,"{""type"":""Point"",""coordinates"":[-121.75494716704904,36.81028943349264]}"
00000000000000000010,-31.850016,5634,454856.39583333326,-0.4314871819871808,594.6875,-0.04774925485253334,0.086675145,-0.2506484,9403,654623.8541666666,-0.3818671076436073,650.3541666666666,0.08667434023492213,-0.16761468,7903,10346,236487.74999999997,-0.19213480432060798,412.25,514901.0208333333,-0.2350890221402136,610.8541666666666,0,0.5962058166372479,"{""type"":""Point"",""coordinates"":[-121.75493824884693,36.8102938925937]}"
00000000000000000011,-31.834805,6348,252944.875,0.3737189892799224,428.0,-0.00645454553887248,0.09866801,-0.2651502,10929,648530.6875,0.3029113258998432,679.2708333333334,0.09866721353334178,-0.17095469,8966,11071,515526.2083333333,0.15446575320953537,614.25,545931.25,0.33277454216821356,631.875,0,0.40155561789359606,"{""type"":""Point"",""coordinates"":[-121.75496946255429,36.8102938925937]}"
00000000000000000012,-31.792345,11383,340869.6041666667,-0.14370157703197778,481.64583333333337,0.05340263247489929,0.07423173,-0.26421252,19558,855620.8958333334,-0.22854503177616384,764.9791666666667,0.07423140425055116,-0.19378144,16855,17575,482342.12499999994,-0.18051022098010658,548.9166666666666,583579.375,-0.1287214086671093,632.1666666666666,0,0.5962139831479331,"{""type"":""Point"",""coordinates"":[-121.75484014862377,36.81001296922733]}"
00000000000000000013,-31.880707,13102,1137767.9583333333,-0.26418755999134347,922.5,-0.04717535153031349,0.18426022,-0.2844738,23520,2726942.625,-0.19608558073811377,1366.4583333333333,0.1842594727847827,-0.10575709,16201,25849,482174.3541666666,-0.176838554791065,501.9375,1208077.7916666665,-0.3092488876283879,932.3333333333333,0,0.40145423017407444,"{""type"":""Point"",""coordinates"":[-121.7524143976507,36.80854146587969]}"
00000000000000000014,-31.832064,7140,788590.9791666666,0.02739353904559428,671.1458333333333,-0.013345111161470413,0.17113541,-0.37305176,15637,3310257.770833333,0.05190823187725587,1337.3125,0.1711343850546132,-0.21568628,11067,16060,1933140.708333333,-0.15434623540615963,1119.875,2076095.7916666665,0.11296776130150964,1173.2083333333333,0,0.8788013091751974,"{""type"":""Point"",""coordinates"":[-121.75496054435222,36.810231465178944]}"
00000000000000000015,-31.836834,5649,222245.39583333334,0.17042657275095688,402.8125,0.0146769555285573,0.114200264,-0.28074867,10059,610001.8125,-0.02018839809267528,621.5208333333333,0.11419925388343923,-0.17206508,7997,9768,387699.45833333326,0.1877793178829828,536.1666666666666,297270.4583333334,0.18979854882672875,457.5833333333333,0,0.9602030608915713,"{""type"":""Point"",""coordinates"":[-121.75495608525114,36.810280515290536]}"
00000000000000000016,-31.831327,6844,345072.875,0.08185320027710336,486.54166666666663,0.006803181488066912,0.14982605,-0.36971036,14873,2343052.6041666665,0.12132698087863557,1346.8125,0.14982512670969178,-0.23277843,10997,14672,1320019.25,0.025321990931670042,891.8333333333333,1416614.4791666665,0.25456987925585595,976.2708333333333,0,0.41302150472230614,"{""type"":""Point"",""coordinates"":[-121.75496500345324,36.81023592428]}"
00000000000000000017,-31.83214,4951,47193.83333333333,0.050556291978040506,169.70833333333331,-0.04686283692717552,0.11994634,-0.29941985,9183,216943.4791666667,-0.14896695177643143,345.35416666666663,0.11994516792323509,-0.18615928,7216,10086,237285.79166666663,-0.1653475887828129,376.75,67767.81249999999,-0.09592716481030938,224.06249999999997,0,0.9241510903636955,"{""type"":""Point"",""coordinates"":[-121.75496946255429,36.81025376068421]}"
