system:index,Blue,Blue_contrast,Blue_corr,Blue_diss,DEM,Green,Green_contrast,Green_corr,Green_diss,RGVI,Red,Red_contrast,Red_corr,Red_diss,label,random,.geo
00000000000000000507,21,1208.0286256188394,0.05268082693253559,28.870514513583267,1.8830433,15,1167.6551118443904,0.05162658828265963,28.392794661600718,-0.123735726,19,1220.1583862033149,0.029969489677880466,29.2945457910233,0,0.656058241739319,"{""type"":""Point"",""coordinates"":[-121.75108558553676,36.808666320709186]}"
00000000000000000271,24,1745.0689318157815,-0.128832551122471,33.412591265047666,1.8962035,20,1863.4220058143044,-0.10916810005469876,34.06557990236335,-0.21911547,28,1820.2064714583203,-0.11499022948799965,34.08409307018869,0,0.8374399964953199,"{""type"":""Point"",""coordinates"":[-121.75099640351569,36.80875550273025]}"
000000000000000007c5,33,418.3872755661882,-0.1858933371757529,16.851362750579444,1.8742088,31,445.8743911148255,-0.19911479121664588,17.384743146076033,-0.076952346,34,445.61061248299256,-0.18521961467089548,17.23580661011733,0,0.9848191573286929,"{""type"":""Point"",""coordinates"":[-121.75100978081882,36.80858605689023]}"
00000000000000000200,33,2695.5326271507815,0.07034256452149994,41.118467690820424,1.9135969,31,2805.0444635534377,0.07610505872878078,41.85937009596692,-0.08213799,36,2801.1615424077104,0.07959487402856998,42.312878223443015,0,0.5061321167878488,"{""type"":""Point"",""coordinates"":[-121.75441207492263,36.80873320722499]}"
00000000000000000674,32,921.823805601562,0.034452658864165354,24.048106570701776,1.8869253,33,1009.6396429543619,0.030537499405424953,24.997932154445063,-0.11753312,40,1009.4140568881032,0.028890732403091132,25.203427831280013,0,0.6039699722060875,"{""type"":""Point"",""coordinates"":[-121.75106774913253,36.808537006778636]}"
0000000000000000039c,40,742.1002410437807,0.04046233459187164,21.408936747527797,1.8943586,38,785.0746230068117,0.04120740037559768,22.030696184590045,-0.06164802,43,698.8356011223877,0.03108625506090907,20.567706019282895,0,0.8392548657152641,"{""type"":""Point"",""coordinates"":[-121.75097856711146,36.80850133397021]}"
00000000000000000515,42,338.80162753589644,0.2685632008461458,14.484511056078887,1.8692816,43,376.35784776281804,0.26971282337653113,15.205174770250043,-0.10251928,52,387.0393919074349,0.27481987127106344,15.512638694532605,0,0.7368875628704459,"{""type"":""Point"",""coordinates"":[-121.75107220823358,36.808666320709186]}"
0000000000000000046d,28,171.8757122441496,0.05052359337657949,9.715536118331391,1.831973,43,178.2065849881167,0.054870126810733916,9.75995519923339,-0.0946936,53,193.43631117490594,0.04382361052963146,10.514106159874625,0,0.6687744309919449,"{""type"":""Point"",""coordinates"":[-121.75359160032882,36.810298351694755]}"
000000000000000003d7,50,1938.4168968218896,-0.013922601295553408,34.50242499173504,1.8533102,50,1986.8711616729568,-0.022589986530456307,35.04687882963268,-0.08064866,58,2082.865588848972,-0.008929176707555928,35.8537292888066,0,0.7495273196506003,"{""type"":""Point"",""coordinates"":[-121.7512238176694,36.80908547620821]}"
00000000000000000274,45,1182.1201467316087,-0.02348946287544837,29.375783075614045,1.882141,50,1312.676080098243,0.0021750610196604936,30.84992402069374,-0.1137,61,1348.7639859304882,-0.015595087857591292,31.14955282013593,0,0.3417510864252824,"{""type"":""Point"",""coordinates"":[-121.75105437182937,36.80873766632604]}"
0000000000000000026b,52,1012.7719010456116,-0.06094148391910548,26.798762773361126,1.8880576,51,1191.7890589022406,-0.058841366032416346,29.136393324485656,-0.11042506,61,1155.4158780856087,-0.04469785862959268,28.804875936139062,0,0.6835107248932522,"{""type"":""Point"",""coordinates"":[-121.75105437182937,36.80874658452815]}"
00000000000000000757,26,62.394801781590296,-0.12887812030994222,6.492229255926571,1.8023,54,67.15269661025236,-0.07785255083742332,6.6619868413233,-0.07779476,63,82.44304746887141,-0.01676584893164207,7.381429798409877,0,0.2627260893688379,"{""type"":""Point"",""coordinates"":[-121.75274883022969,36.8083006744228]}"
000000000000000003c4,60,348.7874559702278,-0.15684326654824526,14.477991366480424,1.8719571,62,403.31055527088074,-0.1421395714952468,15.62033528585415,-0.02053194,64,438.26654707499324,-0.14275972105181728,16.424882742251345,0,0.5177005133989402,"{""type"":""Point"",""coordinates"":[-121.75103653542517,36.80871091171972]}"
00000000000000000136,28,116.11048767597673,0.12480448002973955,9.13291467876636,1.8265718,56,155.78309671540714,0.17236558571919175,10.702702411499802,-0.07977627,66,171.2906091047747,0.1556596378154027,11.32417582531109,0,0.2455393575535132,"{""type"":""Point"",""coordinates"":[-121.75273545292654,36.80826946071543]}"
000000000000000003af,45,135.18053114531253,0.05025296810310137,9.068942014321015,1.8642013,55,131.45474957598492,0.03291954932444888,9.118024383771546,-0.094312236,67,131.07364901004672,0.027438421506172928,9.09956211640259,0,0.301750896650665,"{""type"":""Point"",""coordinates"":[-121.75105883093046,36.808706452618665]}"
000000000000000006bb,57,97.47962568828868,-0.1398097123380534,7.497466883637695,1.8431525,60,82.32487311900785,-0.11991857559141096,7.0101612931757336,-0.054359123,67,95.62453940122572,-0.16830071141935032,7.397579514520303,0,0.19733724962153665,"{""type"":""Point"",""coordinates"":[-121.75166972777474,36.81022254697684]}"
