system:index,DEM,Green,Green_contrast,Green_corr,Green_diss,NDRE,NDVI,NDWI,Near-Infrared,Near-Infrared_contrast,Near-Infrared_corr,Near-Infrared_diss,OSAVI,RGVI,Red,Red-Edge,Red-Edge_contrast,Red-Edge_corr,Red-Edge_diss,Red_contrast,Red_corr,Red_diss,label,random,.geo
00000000000000000000,-31.791151,12613,184093.3066880888,0.10909660028193993,371.97520011453724,0.043236952275037766,0.012664389,-0.22127743,19781,196763.36658952286,0.22207612711441094,363.8499323034206,0.012664336435200731,-0.20919707,19287,18144,243426.5712236825,0.013219550818951403,397.222853720668,492466.17762388464,0.0982028319704705,588.4489529471201,0,0.017733206491767795,"{""type"":""Point"",""coordinates"":[-121.75657473893354,36.81150230897918]}"
00000000000000000001,-31.790749,12802,216574.72446707526,-0.06882374600530818,377.0650190636429,0.06187722831964493,0.031433742,-0.24394628,21059,160658.24998738104,0.016317337722032695,333.7508598854621,0.03143361986703998,-0.21415481,19777,18606,197021.23647254432,-0.15288870961725176,367.71618828276434,223410.2307394549,-0.016153314950609905,380.59701180909997,0,0.44936928261276365,"{""type"":""Point"",""coordinates"":[-121.75657473893354,36.81150230897918]}"
00000000000000000002,-31.782293,11710,426595.84752531676,0.21451548597844497,514.0281636734561,0.040097348392009735,0.041532602,-0.25158787,19580,564374.1374088229,0.057777801401961607,549.1762002199365,0.0415324249520888,-0.21228194,18020,18071,204088.8221071609,0.13049420194117825,377.4100382924495,906628.7015637828,0.16647072186363182,686.3965055288468,0,0.3796697977063894,"{""type"":""Point"",""coordinates"":[-121.75657473893354,36.81149339077708]}"
00000000000000000003,-31.7383,8956,40711.94931465073,-0.09013601026325999,152.26942100125476,0.031948309391736984,0.04036432,-0.25870648,15208,97021.87383662447,0.028634912821538246,261.7561313144841,0.040364101213340615,-0.22064598,14028,14265,32488.496435731773,-0.0645801544250209,152.55313354591024,113134.22583908675,-0.08808380433309074,280.18934913339467,0,0.04113146239522325,"{""type"":""Point"",""coordinates"":[-121.7563294883756,36.810485633938995]}"
00000000000000000004,-31.730341,9018,55422.66327136806,0.09246455855406331,187.02247689844708,0.02033926732838154,0.03669894,-0.24583317,14901,317659.76167492743,-0.08927591472369294,473.0335448046675,0.03669873653626951,-0.21105537,13843,14303,99730.18153150326,-0.13889591202030124,263.9318442194416,181786.13942461467,0.14324890506741714,350.5018504808022,0,0.665712666342573,"{""type"":""Point"",""coordinates"":[-121.7563294883756,36.810485633938995]}"
00000000000000000005,-31.738768,9320,140290.76332943505,0.10965003846034138,303.16524189233087,0.024631820619106293,0.03301045,-0.24265906,15290,258347.69924767164,-0.08915028135105905,405.4655751612675,0.03301027031842893,-0.21134385,14317,14551,78261.25160725867,-0.0462701284555219,225.167716151054,480668.6990787807,-0.05607250258921681,565.5284032409298,0,0.9656684114837178,"{""type"":""Point"",""coordinates"":[-121.7563294883756,36.810485633938995]}"
00000000000000000006,-31.742605,11649,353569.173538139,-0.006152230244389156,486.6799750945915,0.050516191869974136,0.07166385,-0.25160554,19478,334605.09690822713,0.05369128488926213,474.8331358253048,0.07166353865615092,-0.18324356,16873,17604,175612.14083852636,-0.044859472777554116,341.23409864507823,302522.27344968286,-0.11322425093491287,452.7781081038688,0,0.3045211564676019,"{""type"":""Point"",""coordinates"":[-121.755611573106,36.81072642539588]}"
00000000000000000007,-31.737173,8360,39194.47477296455,-0.0024540854304912637,163.80800787316872,0.02785308100283146,0.09636168,-0.26716363,14459,144773.94949006988,-0.18674297138147997,305.42360759250874,0.09636110079133717,-0.17534287,11915,13673,51412.555554297076,-0.10761078555975583,200.89462993351938,82983.23538250384,-0.10372556936029813,230.67324997291894,0,0.4784821021738045,"{""type"":""Point"",""coordinates"":[-121.755611573106,36.81073534359798]}"
00000000000000000008,-31.734816,8458,76290.69856436134,-0.13487585330160662,224.89063328362963,0.020409082993865013,0.0659327,-0.2609195,14431,218542.4748208208,-0.185718533570286,385.50457679820835,0.06593230466071773,-0.19839346,12645,13852,122151.19316243044,-0.024296983489456747,285.1488028481137,87586.22828887499,-0.0731690677459606,247.90598895839844,0,0.0509599960487499,"{""type"":""Point"",""coordinates"":[-121.75561603220703,36.810730884496934]}"
00000000000000000009,-31.707052,8247,1621789.1003267753,-0.11740203517450265,1064.5925139079484,0.018833337351679802,0.055111997,-0.2606863,14015,2751398.4516921723,-0.06344402117454652,1329.7655847706542,0.055111671591217784,-0.20837289,12520,13461,907130.8739636644,0.017154226920559276,788.4371251911405,1844417.7990931696,-0.09554662259228536,1053.6404645535808,0,0.01211328056799621,"{""type"":""Point"",""coordinates"":[-121.75561603220703,36.810744261800096]}"
0000000000000000000a,-31.726337,9501,1232556.7186193196,0.12481543979082088,850.8365724950642,0.037905219942331314,0.052708555,-0.24761505,15761,2567153.818280491,0.1557561015639059,1235.0883403279663,0.0527082734435691,-0.19753926,14180,14608,682380.5664570391,0.1855632230660474,681.0656564852168,1362820.910360689,0.057238495623249064,946.3610602393474,0,0.8865004120743465,"{""type"":""Point"",""coordinates"":[-121.75562049130811,36.81073980269905]}"
0000000000000000000b,-31.730778,8676,24737.6049858314,-0.21257403843202863,125.79531816208038,0.032189469784498215,0.07837109,-0.26631278,14975,49571.97063801618,-0.2757567707297355,185.95467572141456,0.07837064106809821,-0.19193473,12800,14041,60178.88101680597,-0.19311082105454744,163.04503818912704,157025.78554533824,-0.20452323139295073,332.90454620064565,0,0.832843094127346,"{""type"":""Point"",""coordinates"":[-121.75562049130811,36.81072642539587]}"
0000000000000000000c,-31.7352,8194,799597.4600782674,-0.09418516846053177,579.5035429702896,0.024956239387392998,0.10409375,-0.26704726,14172,1657352.420762734,0.026692735999706743,989.1711813186225,0.10409310970431748,-0.16768135,11495,13480,768309.0911596664,0.10272584495860862,675.8977071515409,637817.9029670894,0.12963553191372776,604.4343479454828,0,0.4028744323618495,"{""type"":""Point"",""coordinates"":[-121.75562049130811,36.810735343597976]}"
0000000000000000000d,-31.736053,8789,59540.27364629985,0.10315251927003426,196.08055313977698,0.03072262741625309,0.082390964,-0.2634873,15077,115788.6429753666,-0.11647903246503827,262.70104263450224,0.08239049253542033,-0.18511525,12782,14179,81723.77729396593,0.05466090807998791,230.2804636569016,217593.5684962882,-0.013456863788355415,358.1619576412099,0,0.37805240797376294,"{""type"":""Point"",""coordinates"":[-121.755611573106,36.810730884496934]}"
0000000000000000000e,-31.734964,5984,5117491.623154368,0.14116076962064122,1861.540542186513,-0.049656227231025696,0.09203723,-0.26594597,10161,1.0271278592700396E7,0.08268515439617749,2665.965434825621,0.09203634065702149,-0.17855734,8577,11125,4576081.455617033,0.07718492960235848,1761.6260798376275,1.080430263493744E7,0.1387208538295257,2679.8038166927186,0,0.5941840621957198,"{""type"":""Point"",""coordinates"":[-121.755611573106,36.810730884496934]}"
0000000000000000000f,-31.7311,8723,37830.396790080966,-0.3084054453641285,170.27579117209464,0.013387392275035381,0.06381105,-0.2563781,14739,223688.899445678,-0.3811987955240145,387.2641811326339,0.06381068163209958,-0.1957691,12971,14348,81674.39726325849,-0.18458936576400525,204.58178477426247,156651.20469737134,-0.3440578354678229,341.7897316084926,0,0.7064112884235615,"{""type"":""Point"",""coordinates"":[-121.75562049130811,36.810744261800096]}"
00000000000000000010,-31.737759,9808,940565.397596095,0.3706818184750041,833.886893143034,0.024434173479676247,0.06197987,-0.23845877,15952,1778450.5998029034,0.37056087622903555,1061.946707127582,0.06197954206727974,-0.17912683,14089,15179,425561.3557701849,0.33299980094925147,562.1714863060928,1886568.3762418749,0.3590971962075893,1187.6305829694209,0,0.6328314618067056,"{""type"":""Point"",""coordinates"":[-121.75561603220703,36.810748720901145]}"
00000000000000000011,-31.82904,9157,67573.4058831785,-0.13057628019911233,201.00557122429365,0.009461406618356705,0.08546796,-0.28402534,16423,313229.6174588048,-0.03943922175024581,481.2736092022289,0.08546750478719041,-0.20349933,13836,16116,297211.9877027365,-0.24344146684785198,441.6216265444027,115742.98348514602,0.1306980145790533,288.7528627202002,0,0.7910437205907149,"{""type"":""Point"",""coordinates"":[-121.75873294384343,36.8121711741372]}"
00000000000000000012,-31.851038,12546,137515.10816337095,0.06588965630148347,278.25577320145266,0.04630172997713089,0.14145255,-0.31234917,23941,347825.4063151636,-0.043851475232828604,489.4982216468334,0.1414520156259778,-0.17879996,18008,21822,267081.17307905515,-0.18676127867895218,405.3906809393682,226471.67887253573,-0.21844444474862082,400.6272698263168,0,0.40538468595490784,"{""type"":""Point"",""coordinates"":[-121.75913872203928,36.81232278357302]}"
00000000000000000013,-31.852377,12337,342440.0371783482,0.1668469203521209,457.87069419358863,0.036586448550224304,0.13616838,-0.30445477,23136,1071236.982500014,0.06029134141096821,738.8664861886788,0.1361678360659089,-0.17554496,17595,21502,478005.17820564215,0.02748250058099903,530.9191504377994,561613.1396171562,-0.024750479122189386,635.0100622103382,0,0.9180048491692522,"{""type"":""Point"",""coordinates"":[-121.75916101754457,36.812327242674066]}"
00000000000000000014,-31.850836,13205,606865.7687510767,-0.0054043122501612265,614.117893879368,0.04316849634051323,0.14065056,-0.2999713,24527,1548913.5010246001,0.04959899048442709,1086.5182334898984,0.140650033913762,-0.16633259,18480,22495,1142921.389794598,0.10609267333649658,902.3467052510434,1257574.6510599218,-0.03459155038340707,921.3959573238468,0,0.5847340569769786,"{""type"":""Point"",""coordinates"":[-121.75915209934243,36.812322783573016]}"
00000000000000000015,-31.859142,12522,547720.851880712,0.11830014040800112,592.6053411503294,0.05483010783791542,0.10167911,-0.2848748,22504,1475924.4214532769,0.025942870961842994,984.8067174947441,0.10167871071384965,-0.18869005,18348,20165,652136.8982331408,0.08615769421594163,657.8134513834267,1037525.802216416,0.05975193945463551,762.5259843926121,0,0.26222876883920365,"{""type"":""Point"",""coordinates"":[-121.75916993574667,36.81233170177512]}"
00000000000000000016,-31.863075,11232,2337743.8281097123,0.10055483379730394,1323.9089649911416,0.04544026777148247,0.10082351,-0.26562917,19340,3271989.624903191,0.117387374417877,1593.01216802311,0.10082304413451613,-0.16936697,15801,17656,1764491.7695889848,0.15906586656331084,1115.204045012288,3863272.123505574,0.054515670292330634,1706.597841657455,0,0.5593093262881973,"{""type"":""Point"",""coordinates"":[-121.75916993574664,36.812327242674066]}"
00000000000000000017,-31.84929,13506,130751.84530094001,0.033345427979763156,300.8432770637769,0.030247246846556664,0.12614489,-0.29061943,24576,548037.0705692734,0.14789604877527954,610.6791881674754,0.12614442332108514,-0.17073531,19070,23134,423828.20952018554,0.1498089186969726,565.7033867173319,369439.3821658154,0.021520274313361017,516.0000894120445,0,0.5472734135297054,"{""type"":""Point"",""coordinates"":[-121.75915655844351,36.812322783573016]}"
00000000000000000018,-31.853666,10932,888627.3609725687,-0.01628766818848812,765.3889904989309,0.02179516665637493,0.13140862,-0.3142046,20945,1836546.7019422743,-0.04403894515187436,1064.6209846958186,0.13140804032478368,-0.19066001,16088,20050,834742.9630967245,0.026159320431445796,711.2195850859468,1457245.7087238973,-0.11014583041368751,951.4560810990663,0,0.82484075301348,"{""type"":""Point"",""coordinates"":[-121.75915655844351,36.812322783573016]}"
00000000000000000019,-31.851156,12561,637860.3308590456,0.0864398463201402,689.5854525181614,0.06564812362194061,0.10656899,-0.3019728,23427,1309459.0379587119,0.03360933750347697,967.8197337471605,0.10656858467519087,-0.20188987,18920,20542,1048347.4594628876,0.2209379309270311,776.9413577135836,3039302.0403526104,0.04006046868509759,1425.4182641338095,0,0.07872549936762951,"{""type"":""Point"",""coordinates"":[-121.759116426534,36.812327242674066]}"
0000000000000000001a,-31.838972,11346,354872.3280781934,-0.11838158518478487,475.1730719345713,0.020135218277573586,0.0616293,-0.26597747,19564,400993.3069743679,-0.20578810592230534,536.1552975048572,0.06162903224073181,-0.20777257,17294,18790,159999.04545195418,0.04425364198504914,338.86144501854073,443197.4572421332,-0.10648807088422738,535.8494919282934,0,0.03101876898008793,"{""type"":""Point"",""coordinates"":[-121.75908521282665,36.812327242674066]}"
0000000000000000001b,-31.83994,13599,1450291.4789002368,0.006014997437107688,957.4098221878934,0.053111206740140915,0.11254187,-0.30616122,25586,2486076.7928721565,-0.10177810122496489,1383.8475270322551,0.11254147506700585,-0.20055938,20425,23000,873607.01193526,-0.10889642698692752,746.4919574026769,3030771.7090462544,-0.015402487430484408,1388.0587336442209,0,0.15331263803718387,"{""type"":""Point"",""coordinates"":[-121.75910304923086,36.812327242674066]}"
0000000000000000001c,-31.759172,7908,906913.0581397947,0.10970410508087171,813.3417664963451,0.035156674683094025,0.11187771,-0.28759053,14278,2248218.235359494,0.134187226275582,1253.2204682907297,0.11187700092640446,-0.18146667,11441,13305,1036109.7095815564,0.20516897888648628,861.0330473748886,2899059.182151696,0.12607834799522208,1443.4012726997835,0,0.5676558277389799,"{""type"":""Point"",""coordinates"":[-121.75923682226248,36.81119017190544]}"
0000000000000000001d,-31.770767,11356,4132498.1748825754,0.2098649291953775,1665.1108789212478,0.007896705530583858,0.08138617,-0.2907068,20639,8826397.286490554,0.21511972038075367,2419.5073363886327,0.08138582058400785,-0.21439838,17559,20283,3386625.2313937373,0.2298939418097151,1519.7543235256007,1.0870132450782353E7,0.17038679332419182,2636.648195834439,0,0.5803703862670568,"{""type"":""Point"",""coordinates"":[-121.75854120249812,36.811100989884366]}"
0000000000000000001e,-31.74594,9343,354452.63233587716,-0.01589626451709726,498.6495205341985,0.03594294190406799,0.061221384,-0.26234713,15993,905750.2974671507,0.049506749809664206,799.0646820622543,0.06122105832777468,-0.20439997,14150,14879,297762.884202251,0.16959432142014202,418.6262112124973,870630.8141873062,0.06823081176336127,724.3867821904948,0,0.41027972819755554,"{""type"":""Point"",""coordinates"":[-121.75854120249815,36.811087612581204]}"
