system:index,DEM,Green,Green_contrast,Green_corr,Green_diss,NDRE,NDVI,NDWI,Near-Infrared,Near-Infrared_contrast,Near-Infrared_corr,Near-Infrared_diss,OSAVI,RGVI,Red,Red-Edge,Red-Edge_contrast,Red-Edge_corr,Red-Edge_diss,Red_contrast,Red_corr,Red_diss,label,name,random,.geo
00000000000000000000,1.816505,27146,8799322.745736143,0.24545268026838316,2425.1549979121273,-0.02265849895775318,0.30161774,-0.37005523,58987,102247.74883487067,-0.028807676407897276,158.3685689048835,0.30161720238506234,-0.07695452,31698,61722,587691.5444259383,0.16074649660860224,566.4490623761349,2.0568504311377175E7,0.21561355084775094,3570.696738591715,0,Unvegetated,0.052429893574323594,"{""type"":""Point"",""coordinates"":[-121.75233859293279,36.80827391981649]}"
00000000000000000001,1.8184061,34502,2.295457741086687E7,0.14794758850279913,4159.249177463853,-0.026784434914588928,0.14795698,-0.26229247,59008,309427.1263207002,-0.13578216703957036,116.78459349986215,0.1479567447411925,-0.11898256,43825,62255,384022.9768945927,-0.11015743827597306,170.44561389769663,4.601347369521197E7,0.2096271932771647,5913.042653350122,0,Unvegetated,0.09552132240353317,"{""type"":""Point"",""coordinates"":[-121.75233859293279,36.80827391981649]}"
00000000000000000002,1.8901443,9220,1459568.2467690648,-0.008303564354347603,962.8056725594001,0.00807276088744402,0.12185293,-0.30411503,17220,1445792.0426895781,-0.058701797277625395,983.1424980472624,0.12185228690930694,-0.18942128,13519,16929,376999.02332921536,-0.19433923700644784,489.1488090372994,2596358.318892601,0.025581832174411984,1330.527356981292,0,Unvegetated,0.840477985243864,"{""type"":""Point"",""coordinates"":[-121.75181687810951,36.80772545038691]}"
00000000000000000003,1.8924417,7388,684765.5507282346,0.19356380811313756,700.0749788516639,-0.05592401325702667,0.12160105,-0.31677356,14239,1495252.3562187892,-0.012853181284246054,994.7347874317209,0.12160028817875916,-0.20298955,11151,15924,453964.5087133576,-0.030744581422830465,476.6060911172218,918929.7707619411,0.26094522116499735,809.1853450134222,0,Unvegetated,0.7501857585592222,"{""type"":""Point"",""coordinates"":[-121.75181687810951,36.80772545038691]}"
00000000000000000004,1.8923497,8588,1312354.7933159221,0.22798383969909194,926.0100973762192,-0.026103857904672623,0.11242867,-0.3048477,16112,3386565.3880886547,0.18909491457312663,1428.5389590430927,0.11242805583972297,-0.19922563,12845,16938,559906.6151816384,0.14896843401067517,569.2588992675701,1918961.7258915028,0.26701086546555836,1133.6915750178446,0,Unvegetated,0.5759830176107769,"{""type"":""Point"",""coordinates"":[-121.75181687810951,36.80772545038691]}"
00000000000000000005,1.894429,7897,276630.0003426497,0.14127091147675927,426.4848824207573,-0.03372056037187576,0.11605462,-0.32234338,15415,1031594.1833733856,0.25577588663360135,824.1213175837238,0.11605393968248601,-0.21428251,12210,16489,290429.30161495134,0.156982652954686,447.1299661281315,458709.747036695,0.25585972711157634,577.9602450216959,0,Unvegetated,0.5869515842124232,"{""type"":""Point"",""coordinates"":[-121.75181687810951,36.80772545038691]}"
00000000000000000006,1.8943154,6928,661725.8994211877,0.02627845193510048,626.228466301933,-0.0657150149345398,0.13701762,-0.31968832,13429,1452800.3710542135,0.1072957641740713,916.8790486360281,0.13701668120502888,-0.19105591,10190,15308,297178.31982322107,0.03554364319032607,459.3620284631887,770803.1667240703,0.08601574527232107,696.6061964697225,0,Unvegetated,0.6313763977484933,"{""type"":""Point"",""coordinates"":[-121.75181687810951,36.80772545038691]}"
00000000000000000007,1.8923564,7946,1047893.6780835927,0.1978786012665105,882.0037447186738,-0.03845139592885971,0.12813415,-0.31294984,15195,3203553.6288172663,0.1305766601936084,1473.8312838114134,0.12813338603144778,-0.19252175,11725,16357,479375.8479942237,0.18138391995153375,572.9487103724484,1798789.636459822,0.25353810367996943,1143.5193296535463,0,Unvegetated,0.5733823522252198,"{""type"":""Point"",""coordinates"":[-121.75181687810951,36.80772545038691]}"
00000000000000000008,1.8921196,7058,1205466.2906181351,0.1511676902263036,889.4389146569504,-0.03884673863649368,0.14811124,-0.3574084,14889,2750289.4834444197,0.06318922308852856,1348.1313998215562,0.14811031904996447,-0.22102591,11057,16077,771728.0449732249,0.12998837474139482,764.4838178328233,2019648.5555298855,0.1982678785488404,1173.0761605419334,0,Unvegetated,0.9428690859602751,"{""type"":""Point"",""coordinates"":[-121.75181687810951,36.80772545038691]}"
00000000000000000009,1.8952458,6326,1027415.6580986871,-0.09753299414777226,797.541337222084,-0.049556683748960495,0.17533922,-0.38752493,14304,1809655.5421017988,-0.045370442154748294,1099.2359454966463,0.17533806577879515,-0.22779739,10047,15791,967790.8379115433,0.10532006403926931,755.8308196506327,1428788.897889312,-0.09119561893799426,982.2026706846431,0,Unvegetated,0.26000984693830487,"{""type"":""Point"",""coordinates"":[-121.75181687810951,36.80772545038691]}"
