system:index,Blue,Blue_contrast,Blue_corr,Blue_diss,DEM,Green,Green_contrast,Green_corr,Green_diss,RGVI,Red,Red_contrast,Red_corr,Red_diss,label,name,random,.geo
000000000000000000f3,164,6.196026021888125,-0.10058497590655935,2.0013019754957586,-31.534311,182,3.9817836834361704,-0.06512150711739495,1.6585662479774297,0.023853421,174,5.625404951731336,-0.20032908774661223,1.8749838430730579,0,Unvegetated,0.5657174574705971,"{""type"":""Point"",""coordinates"":[-121.75434518840682,36.80634312906035]}"
0000000000000000009e,167,7.240178996904824,0.14717410917180676,2.239461609228633,-31.555573,184,6.857246632934514,0.22824893976500665,2.0633686088697205,0.02509992,175,8.165942332472465,0.18063878804523303,2.2710111327703526,0,Unvegetated,0.5581945897063942,"{""type"":""Point"",""coordinates"":[-121.75434518840682,36.80633866995929]}"
000000000000000000dc,72,927.2245716302418,-0.32653791210812155,26.409895462980934,-31.685423,96,858.9443527656238,-0.32146546194719217,25.161176638875766,-0.035125032,103,905.757096016115,-0.3295368920588979,25.669940718162394,0,Unvegetated,0.7033360784680883,"{""type"":""Point"",""coordinates"":[-121.75496946255429,36.81029835169475]}"
000000000000000000f5,98,74.22427253837182,-0.14406303760318348,6.917580162743407,-31.687729,124,77.06507074367971,-0.1487774974356605,7.115267170619954,-0.03115736,132,76.23701065948254,-0.12454370143145824,7.135421554836224,0,Unvegetated,0.18096303331146502,"{""type"":""Point"",""coordinates"":[-121.75496946255429,36.81029835169475]}"
0000000000000000024a,101,194.04532769927437,0.27965786613511545,11.637770766021063,-31.690449,128,245.35758612074846,0.23314398281459767,13.271746505124643,-0.03591641,137,235.61553399010393,0.27028359488573717,13.063166872647937,0,Unvegetated,0.3544530765715346,"{""type"":""Point"",""coordinates"":[-121.75496946255429,36.81029835169475]}"
00000000000000000025,103,60.76640485751608,-0.017484856220652153,6.304884143059826,-31.685692,128,64.30672591333627,-0.08933979261771222,6.604220353861766,-0.03373526,137,74.1761361575754,-0.03364886676189247,7.187005030131982,0,Unvegetated,0.21992563907416707,"{""type"":""Point"",""coordinates"":[-121.75496946255429,36.8103028107958]}"
000000000000000000c2,92,250.72691330368113,0.012886268696602973,11.986125252211906,-31.685604,119,257.6635984769998,-5.869436876958858E-4,12.110772214253297,-0.042437065,130,235.5741480540832,0.013474775156349473,11.611193667437897,0,Unvegetated,0.9080172508999219,"{""type"":""Point"",""coordinates"":[-121.75496946255429,36.8103028107958]}"
000000000000000001d0,100,458.76727258116733,-0.1478766285988052,17.93899104954822,-31.670628,125,468.69916749549463,-0.1587534521267245,18.062946627703063,-0.03968732,135,432.76948828038405,-0.1528059457239549,17.23245555192423,0,Unvegetated,0.24491338546558494,"{""type"":""Point"",""coordinates"":[-121.75496946255429,36.8103028107958]}"
00000000000000000017,79,204.35731645351,0.003682229664317388,12.079213575010325,-31.696379,105,217.9762378033604,-0.012559809467695374,12.672485633147243,-0.035001446,112,226.4112351867821,-0.01369732173920675,12.640041786676685,0,Unvegetated,0.5523108105840782,"{""type"":""Point"",""coordinates"":[-121.75497392165539,36.81029835169475]}"
000000000000000000c8,90,589.7141899747909,-0.1776397652922256,18.96725347379408,-31.70137,120,561.6078369599622,-0.16736385457529737,18.355527595106594,-0.012256762,123,575.9304894221035,-0.1565736078284635,18.70381942482054,0,Unvegetated,0.6415981127594643,"{""type"":""Point"",""coordinates"":[-121.75497392165539,36.81029835169475]}"
00000000000000000247,105,347.4912707075176,0.07185956790443429,16.143388426056212,-31.685713,131,328.59780951274126,0.05213161139090479,15.510164931216774,-0.024142029,138,320.97151706648526,0.07007402418886714,15.437099501237121,0,Unvegetated,0.5665547135260087,"{""type"":""Point"",""coordinates"":[-121.75497392165539,36.81029835169475]}"
00000000000000000074,93,53.95345714125191,0.053914303678625285,6.325232123299192,-31.70256,122,52.878505685162054,0.034465512638909394,6.137875403891213,-0.029846393,130,61.040300810291356,-0.00443688458806906,6.4189577979843,0,Unvegetated,0.6863983480744075,"{""type"":""Point"",""coordinates"":[-121.75496500345324,36.810302810795804]}"
00000000000000000237,77,154.3637864279937,-0.20089400831709758,8.170550335293532,-31.673275,104,150.8716700559198,-0.15886088319657163,8.356272883165623,-0.045895845,114,177.0631722537905,-0.1972162743568346,9.333969032534315,0,Unvegetated,0.6084762912973602,"{""type"":""Point"",""coordinates"":[-121.75496500345324,36.810302810795804]}"
