GrndTruth,GrndTruth2,RASTERVALU,Classified,Latitude,Longitude
1,1,1,1,4074615.832599999848753,611204.821781000006013
0,0,0,0,4074608.234459999948740,611281.722935999976471
0,0,0,0,4074606.074990000110120,611292.520290000014938
1,1,0,0,4074593.438080000225455,611190.685244999942370
0,0,0,0,4074586.799709999933839,611224.876866000005975
1,1,0,0,4074587.939429999794811,611281.802916000015102
0,0,0,0,4074584.980159999802709,611299.078683000057936
0,0,0,0,4074563.405439999885857,611026.165563000016846
0,0,0,0,4074566.424699999857694,611061.856815999955870
1,1,1,1,4074568.984079999849200,611112.064511999953538
0,0,0,0,4074579.881409999914467,611140.997422000044025
1,1,0,0,4074567.464449999853969,611146.336113999946974
0,0,0,0,4074581.820929999928921,611185.606490000034682
0,0,0,0,4074581.121100000105798,611214.939301999984309
0,0,0,0,4074578.401769999880344,611236.973901999997906
0,0,0,0,4074572.883119999896735,611285.561994999996386
0,0,0,0,4074581.580990000162274,611305.917006999952719
0,0,0,0,4074572.703160000033677,611317.254227999947034
0,0,0,0,4074561.265970000065863,611037.262843000004068
0,0,0,0,4074555.707330000121146,611053.658825000049546
1,1,1,1,4074559.886309999972582,611077.153067999985069
0,0,0,0,4074554.207700000144541,611067.535425000009127
0,0,0,0,4074552.668070000130683,611090.609769999980927
0,0,0,0,4074544.210150000173599,611106.345913999946788
0,0,0,0,4074545.589809999801219,611160.932537000044249
1,1,0,0,4074544.230140000116080,611167.630894999951124
1,1,1,1,4074560.486159999854863,611201.942487000022084
0,0,0,0,4074558.786569999996573,611215.439178999979049
1,1,1,1,4074555.987259999848902,611241.412814000039361
1,1,0,0,4074543.610290000215173,611226.876376000000164
0,0,0,0,4074555.007499999832362,611304.417373999953270
0,0,0,0,4074552.888019999954849,611312.195468000019901
0,0,0,0,4074554.207700000144541,611344.647514999960549
0,0,0,0,4074552.928009999915957,611358.624090000055730
0,0,3,3,4074556.087239999789745,611383.258053999976255
0,0,0,0,4074550.308650000020862,611378.559205000055954
0,0,0,0,4074522.455480000004172,611011.149242999963462
0,0,0,0,4074541.070919999852777,611050.739540999988094
0,0,0,0,4074537.131879999767989,611063.356448999955319
0,0,0,0,4074538.391569999977946,611084.931162000051700
0,0,0,0,4074538.011669999919832,611108.585364999948069
0,0,0,0,4074536.612009999807924,611131.119842999964021
1,1,1,1,4074536.811960000079125,611165.131507999962196
0,0,0,0,4074534.912430000025779,611165.091516999993473
1,1,1,1,4074532.972899999935180,611179.348023999948055
0,0,0,0,4074532.612989999819547,611192.104898000019602
1,1,2,2,4074541.310860000085086,611235.794191000051796
1,1,0,0,4074522.915370000060648,611272.425214000046253
0,0,0,0,4074539.251360000111163,611311.015756999957375
0,0,0,0,4074529.033869999926537,611338.768955999985337
0,0,0,0,4074528.953890000004321,611354.885006999946199
0,0,0,0,4074516.756870000157505,611013.768600999959745
0,0,3,3,4074515.297230000142008,611010.109496999997646
0,0,0,0,4074503.280179999768734,611023.186293000006117
0,0,0,0,4074517.636659999843687,611066.555664999992587
0,0,0,0,4074516.097039999905974,611083.451524000032805
0,0,0,0,4074504.919780000112951,611099.187667999998666
1,1,1,1,4074519.276260000187904,611118.163017999962904
0,0,0,0,4074512.737860000226647,611117.043291999958456
0,0,0,0,4074509.898560000117868,611136.178603000007570
0,0,0,0,4074505.579609999898821,611145.636285000015050
0,0,0,0,4074512.477919999975711,611186.246333000017330
1,1,0,0,4074504.339920000173151,611216.119013000046834
0,0,0,0,4074506.559369999915361,611251.050451999995857
0,0,0,0,4074519.516199999954551,611311.895541999954730
0,0,0,0,4074517.576669999863952,611331.950626999954693
0,0,0,0,4074517.316740000154823,611366.882067000027746
0,0,0,0,4074517.716640000231564,611375.539944999967702
1,1,1,1,4074497.861510000191629,611052.939002000028268
0,0,0,0,4074497.121689999941736,611054.958507000003010
0,0,3,3,4074493.942470000125468,611053.378893999964930
1,1,0,0,4074486.404310000129044,611041.861716000013985
0,0,0,0,4074500.460870000068098,611097.847995999967679
0,0,0,0,4074500.120949999894947,611107.785560999996960
0,0,0,0,4074500.160939999856055,611124.261522999964654
0,0,0,0,4074489.583529999945313,611154.814036000054330
0,0,0,0,4074483.225089999847114,611180.227808000054210
0,0,0,0,4074492.422840000130236,611216.418938999995589
0,0,0,0,4074500.280910000205040,611246.351603999966756
1,1,1,1,4074485.064639999996871,611252.830015999963507
0,0,0,0,4074490.843230000231415,611286.981646999949589
0,0,0,0,4074497.421610000077635,611315.114752999972552
0,0,0,0,4074497.981480000074953,611346.786990999942645
0,0,0,0,4074496.521829999983311,611351.005956999957561
0,0,0,0,4074491.962950000073761,611388.236832999973558
0,0,0,0,4074491.982950000092387,611393.895447000046261
0,0,0,0,4074486.184369999915361,611409.871532000019215
1,1,0,0,4074477.126589999999851,611046.200653000036255
1,1,1,1,4074472.747659999877214,611053.858775999979116
0,0,3,3,4074480.025880000088364,611080.292297999956645
0,0,0,0,4074468.588680000044405,611098.267893000040203
1,1,1,1,4074462.930069999769330,611088.990166999981739
0,0,0,0,4074480.585740000009537,611139.277843000018038
0,0,0,0,4074476.646699999924749,611163.391933999955654
0,0,0,0,4074475.686939999926835,611177.648440000019036
0,0,0,0,4074469.068560000043362,611193.004676999989897
0,0,0,0,4074474.507230000104755,611240.732980999979191
1,1,2,2,4074464.269739999901503,611261.287943999981508
1,1,2,2,4074462.050280000083148,611258.288678999990225
0,0,0,0,4074475.706929999869317,611320.413454000023194
0,0,0,0,4074467.348979999776930,611347.926712000044063
0,0,3,3,4074472.267779999878258,611356.064718000008725
0,0,0,0,4074464.509680000133812,611356.664571000030264
0,0,0,0,4074463.809849999845028,611377.559449999942444
0,0,0,0,4074466.829109999816865,611403.793020999990404
0,0,0,0,4074469.468460000120103,611437.404784000013024
0,0,0,0,4074478.446260000113398,611473.515935000032187
1,1,1,1,4074478.066360000055283,611474.795620999997482
0,0,0,0,4074456.431659999769181,611096.368358999956399
0,0,0,0,4074441.315359999891371,611091.429569000029005
0,0,0,0,4074455.491890000179410,611134.199087999993935
0,0,0,0,4074454.392159999813884,611145.356354000046849
0,0,0,0,4074460.450670000165701,611191.685000000055879
1,1,0,0,4074444.194660000037402,611201.682550000026822
0,0,0,0,4074445.994220000226051,611206.001491999952123
1,1,0,0,4074460.470670000184327,611248.311123999999836
0,0,0,0,4074451.632830000016838,611255.029477000003681
0,0,0,0,4074457.551380000077188,611348.266628999961540
0,0,0,0,4074454.632100000046194,611362.663101000012830
0,0,0,0,4074445.334379999898374,611360.003752000047825
0,0,0,0,4074449.113450000062585,611388.916667000041343
