GrndTruth,GrndTruth2,RASTERVALU,Classified,Latitude,Longitude
0,0,0,0,4074502.781369999982417,611211.278359999996610
0,0,0,0,4074490.874929999932647,611235.847518000053242
1,1,1,1,4074500.977950000204146,611292.335247999988496
0,0,0,0,4074494.346030000131577,611280.293064999976195
0,0,2,2,4074498.030429999809712,611332.553426999947987
0,0,2,2,4074504.390879999846220,611349.152635999955237
0,0,0,0,4074499.193930000066757,611369.048417999991216
0,0,0,0,4074494.016369999852031,611387.431654999963939
0,0,0,0,4074497.797730000223964,611401.568131000036374
0,0,0,0,4074493.260100000072271,611447.215958000044338
1,1,1,1,4074466.092470000032336,611067.198772000032477
0,0,0,0,4074483.816389999818057,611111.062571999966167
0,0,0,0,4074481.702699999790639,611126.420719000045210
0,0,0,0,4074467.042650000192225,611139.141608000034466
1,1,1,1,4074475.419830000028014,611147.964785999967717
0,0,0,0,4074480.151380000170320,611174.705803000018932
0,0,0,0,4074468.904250000137836,611195.958996000001207
0,0,0,0,4074471.211850000079721,611211.860107999993488
0,0,0,0,4074481.373050000052899,611257.779417000012472
1,1,0,0,4074470.164700000081211,611290.939052999950945
0,0,2,2,4074471.192460000049323,611321.849263999960385
0,0,2,2,4074471.948729999829084,611357.491023999988101
0,0,2,2,4074477.979520000051707,611390.495528000057675
0,0,2,2,4074467.895889999810606,611384.813789000036195
0,0,2,2,4074468.244930000044405,611426.020938999950886
1,1,1,1,4074471.657860000152141,611446.188202999997884
0,0,0,0,4074469.001209999900311,611448.806069000042044
1,1,1,1,4074475.574959999881685,611476.361532000009902
0,0,0,0,4074472.821349999867380,611468.818199999979697
1,1,0,0,4074452.595910000149161,611092.931425999966450
0,0,0,0,4074454.728990000206977,611113.738612000015564
0,0,0,0,4074464.851400000043213,611154.906978999963030
0,0,0,0,4074457.172329999972135,611142.942362000001594
0,0,0,0,4074461.690570000093430,611183.664722000015900
0,0,2,2,4074463.009200000204146,611238.058160000015050
0,0,0,0,4074458.549130000174046,611234.587063999962993
