GrndTruth,RASTERVALU,Classified,Latitude,Longitude
0,0,0.000000000000000,4074770.563509999774396,610625.735647000023164
2,2,2.000000000000000,4074776.404740000143647,610681.729924999992363
0,0,0.000000000000000,4074773.035840000025928,610691.646427999949083
0,0,0.000000000000000,4074787.027619999833405,610737.506856000050902
0,0,0.000000000000000,4074774.068250000011176,610715.011337999952957
2,2,2.000000000000000,4074786.158230000175536,610750.955262999981642
0,0,0.000000000000000,4074782.218799999915063,610764.892703999998048
0,0,0.000000000000000,4074774.122580000199378,610751.362791000050493
0,0,0.000000000000000,4074778.333699999842793,610783.964991000015289
0,0,0.000000000000000,4074769.286590000148863,610782.253374999971129
0,0,0.000000000000000,4074772.736990000121295,610835.720983000006527
0,0,0.000000000000000,4074772.139279999770224,610834.009367999969982
0,0,0.000000000000000,4074771.025380000006407,610874.762117999955080
2,0,0.000000000000000,4074773.171690000221133,610878.294023000053130
0,0,0.000000000000000,4074779.610619999933988,610927.577682000002824
1,2,2.000000000000000,4074769.558279999997467,610907.608833999955095
2,0,0.000000000000000,4074769.313759999815375,610910.977728000027128
0,0,0.000000000000000,4074780.561519999988377,610933.717763000051491
1,1,1.000000000000000,4074790.315010000020266,610971.264629999990575
0,0,0.000000000000000,4074789.988989999983460,610969.444340000045486
0,0,0.000000000000000,4074776.431909999810159,610971.943841999978758
0,0,0.000000000000000,4074787.951350000221282,611000.633778000017628
2,2,2.000000000000000,4074786.783110000193119,611009.871067999978550
0,0,0.000000000000000,4074777.111120000015944,611013.104120000032708
0,0,0.000000000000000,4074788.576229999773204,611033.915190999978222
0,0,0.000000000000000,4074779.474779999814928,611020.684130999958143
0,0,0.000000000000000,4074790.070489999838173,611053.014645999995992
0,0,0.000000000000000,4074782.436149999964982,611059.236232999945059
0,0,0.000000000000000,4074769.558279999997467,611049.509910000022501
2,2,2.000000000000000,4074791.428919999860227,611089.556279000011273
0,0,0.000000000000000,4074784.120589999947697,611092.626319000031799
0,0,0.000000000000000,4074777.138290000148118,611085.046307999989949
0,0,0.000000000000000,4074790.124830000102520,611123.897263000020757
0,0,0.000000000000000,4074779.719299999997020,611111.943122999975458
0,0,0.000000000000000,4074770.971040000207722,611101.673429999966174
0,0,0.000000000000000,4074789.282610000111163,611148.185902000055648
0,0,0.000000000000000,4074778.089190000202507,611152.478525000042282
0,0,0.000000000000000,4074793.303549999836832,611168.236254999996163
0,0,0.000000000000000,4074783.278369999956340,611157.912224999978207
1,1,1.000000000000000,4074780.289830000139773,611160.438895000028424
0,2,2.000000000000000,4074774.204090000130236,611172.990742000052705
0,0,0.000000000000000,4074796.210570000112057,611187.227035999996588
0,0,0.000000000000000,4074779.529120000079274,611193.828982000006363
2,0,0.000000000000000,4074746.655230000149459,610576.451987999957055
0,0,0.000000000000000,4074751.572730000130832,610625.789984000031836
2,2,2.000000000000000,4074744.780600000172853,610620.627969000022858
0,0,0.000000000000000,4074741.819240000098944,610610.086590999970213
0,0,0.000000000000000,4074750.051289999857545,610644.835102000040933
1,1,1.000000000000000,4074748.747210000175983,610643.802698999992572
2,0,0.000000000000000,4074763.689879999961704,610665.673341999994591
2,2,2.000000000000000,4074758.120339999906719,610667.439294000039808
0,0,0.000000000000000,4074750.268639999907464,610667.249115000013262
0,0,0.000000000000000,4074766.705579999834299,610701.562930000014603
0,0,0.000000000000000,4074755.104629999957979,610708.871257000020705
1,0,0.000000000000000,4074744.834939999971539,610698.900417000055313
0,0,0.000000000000000,4074762.195609999820590,610714.603810000000522
0,0,0.000000000000000,4074751.382550000213087,610713.951766000012867
0,0,0.000000000000000,4074767.819490000139922,610738.321910999948159
0,0,0.000000000000000,4074758.745209999848157,610743.293746000039391
0,0,0.000000000000000,4074749.942619999870658,610758.942801999975927
1,1,1.000000000000000,4074749.888280000071973,610759.268824000027962
0,0,0.000000000000000,4074745.704330000095069,610742.750375999952666
0,0,0.000000000000000,4074761.462059999816120,610785.106067999964580
0,0,0.000000000000000,4074751.409719999879599,610783.068429999984801
0,0,0.000000000000000,4074764.939629999920726,610796.978701999993064
0,0,0.000000000000000,4074757.767150000203401,610798.798992000054568
0,0,0.000000000000000,4074748.529860000126064,610806.025813000043854
0,0,0.000000000000000,4074765.591680000070482,610842.241422999999486
2,0,0.000000000000000,4074764.858130000066012,610867.915656000026502
2,2,2.000000000000000,4074754.642769999802113,610876.093374000047334
0,0,0.000000000000000,4074754.126569999847561,610866.774578999960795
2,2,2.000000000000000,4074767.792320000007749,610878.946067000040784
0,0,0.000000000000000,4074756.843419999815524,610893.780067999963649
2,2,2.000000000000000,4074747.280110000167042,610902.256640000035986
0,0,0.000000000000000,4074765.618840000126511,610927.061480000033043
0,0,0.000000000000000,4074754.669939999934286,610923.638248999952339
2,0,0.000000000000000,4074743.992719999980181,610925.866065999958664
2,0,0.000000000000000,4074755.702339999843389,610952.301016999990679
1,1,1.000000000000000,4074749.507919999770820,610937.467015999951400
0,0,0.000000000000000,4074742.715799999888986,610942.873546999995597
2,2,2.000000000000000,4074741.493220000062138,610945.862082000006922
0,0,0.000000000000000,4074758.962559999898076,610976.861340999952517
0,0,0.000000000000000,4074767.466299999970943,611012.207559000002220
2,2,2.000000000000000,4074766.298059999942780,610988.027593999984674
0,0,0.000000000000000,4074759.587439999915659,611011.664189000031911
0,0,0.000000000000000,4074748.421180000063032,611001.639012999949045
0,0,0.000000000000000,4074764.858130000066012,611037.582937999977730
2,2,2.000000000000000,4074754.343919999897480,611034.431392000056803
0,0,0.000000000000000,4074753.148500000126660,611025.194101999979466
0,0,0.000000000000000,4074743.476520000025630,611030.464791000005789
1,1,1.000000000000000,4074768.716049999929965,611071.081698999973014
2,0,0.000000000000000,4074759.288579999934882,611058.230998000013642
0,0,0.000000000000000,4074745.704330000095069,611065.484988000011072
2,0,0.000000000000000,4074764.993970000185072,611082.220784000004642
0,0,0.000000000000000,4074751.735739999916404,611072.168439000030048
2,2,2.000000000000000,4074751.328209999948740,611074.966794000007212
1,0,0.000000000000000,4074767.873829999938607,611103.004685999942012
0,0,0.000000000000000,4074755.620839999988675,611109.606631999951787
2,1,1.000000000000000,4074750.947850000113249,611100.369341999990866
0,0,0.000000000000000,4074763.526870000176132,611132.645520000020042
