GrndTruth,RASTERVALU,Classified,Latitude,Longitude
1,2,2,4074521.770839999895543,611140.741116999997757
0,0,0,4074512.843650000169873,611143.689086999977008
0,0,0,4074515.158720000181347,611182.062667999998666
0,0,0,4074512.344000000040978,611208.627712000044994
0,0,0,4074514.309309999924153,611249.316364999976940
3,0,0,4074515.941519999876618,611306.260494000045583
0,0,0,4074505.598639999981970,611313.855265000020154
0,0,0,4074516.341239999979734,611347.931804999941960
0,0,0,4074510.445299999788404,611372.598156000021845
0,2,2,4074498.037179999984801,611041.159676000010222
2,0,0,4074501.568080000113696,611063.544265000033192
0,0,0,4074500.735319999977946,611062.628229000023566
0,0,0,4074499.802629999816418,611098.653426000033505
0,0,0,4074493.140550000127405,611119.405804999987595
0,0,0,4074500.185699999798089,611137.876422000001185
0,0,0,4074501.651360000018030,611174.501206999993883
0,0,0,4074504.083019999787211,611220.719386999960989
0,0,0,4074491.608270000200719,611235.159444999997504
0,0,0,4074489.159959999844432,611286.290908999973908
0,0,0,4074492.257819999940693,611322.799108000006527
0,0,0,4074503.899809999857098,611346.882527000037953
0,0,0,4074498.120449999812990,611363.254589000018314
0,0,0,4074491.308480000123382,611391.152049000025727
0,0,0,4074489.876130000222474,611414.702501000021584
0,2,2,4074486.844880000222474,611047.755134999984875
2,0,0,4074477.101590000092983,611062.211848999955691
0,0,0,4074485.529120000079274,611089.276548999943770
0,0,0,4074476.218869999982417,611103.733262000023387
0,0,0,4074481.315359999891371,611147.852886999957263
0,0,0,4074472.671310000121593,611161.143736999947578
0,0,0,4074483.180740000214428,611202.781736999982968
0,0,0,4074480.099529999773949,611236.125447000027634
2,0,0,4074486.761609999928623,611279.045897000003606
2,2,2,4074478.517279999796301,611280.644796999986283
0,0,0,4074481.182120000012219,611318.985067000030540
0,0,0,4074471.522100000176579,611326.979563000029884
0,0,0,4074472.654649999924004,611367.551630000001751
0,0,0,4074482.747700000181794,611400.329064000048675
0,0,0,4074487.760919999796897,611432.756737999967299
3,3,3,4074477.401389999780804,611455.541052000015043
0,0,0,4074473.920450000092387,611458.255848999950103
2,1,1,4074468.823960000183433,611052.918246999965049
0,0,0,4074468.374270000029355,611099.003185000037774
0,0,0,4074458.814180000219494,611115.824937000055797
0,0,0,4074466.808679999783635,611152.283169999951497
0,0,0,4074454.750310000032187,611169.388061000034213
0,0,0,4074463.027950000017881,611204.214083999977447
0,0,0,4074464.426979999989271,611226.965087000047788
2,0,0,4074468.390920000150800,611248.550226000021212
2,0,0,4074466.958579999860376,611263.723113000043668
0,0,0,4074468.540820000227541,611323.415350000024773
0,0,0,4074467.075160000007600,611346.232974000042304
0,0,0,4074463.810740000102669,611365.919421000056900
0,0,0,4074455.932829999830574,611375.629401999991387
0,0,0,4074457.881490000057966,611412.220877000014298
0,0,0,4074462.977979999966919,611455.357844999991357
0,1,1,4074444.041019999887794,611068.041168999974616
2,1,1,4074440.643360000103712,611077.368081000051461
0,0,0,4074447.721820000093430,611110.695136000053026
0,0,0,4074437.478870000224560,611127.383645999943838
0,0,0,4074446.006329999770969,611166.057020999956876
0,0,0,4074451.119479999877512,611204.030876999953762
0,0,0,4074451.019549999851733,611233.277407999965362
2,2,2,4074444.074330000206828,611232.178165000048466
2,2,2,4074451.336000000126660,611262.024283000035211
0,0,0,4074447.322089999914169,611331.226639000000432
0,0,0,4074440.493460000026971,611353.378054999979213
0,0,0,4074438.294979999773204,611389.703045999980532
0,0,0,4074447.521960000041872,611424.895483999978751
0,0,0,4074440.093739999923855,611432.906635000021197
0,0,0,4074447.805099999997765,611464.518204999971204
0,0,0,4074436.229729999788105,611121.487704999977723
0,0,0,4074432.215830000117421,611152.699550000019372
0,0,0,4074422.172739999834448,611165.857157999998890
0,0,0,4074432.865379999857396,611199.050971999997273
0,0,0,4074420.823669999837875,611210.010093000018969
1,1,1,4074431.316449999809265,611222.151733999955468
0,0,0,4074434.930629999842495,611266.188083000015467
0,0,0,4074426.070059999823570,611319.251550000044517
0,0,0,4074428.751550000160933,611354.360712000052445
0,0,0,4074429.517690000124276,611381.725205000024289
0,0,0,4074422.156090000178665,611404.925899000023492
2,0,0,4074431.716169999912381,611442.433409000048414
0,0,0,4074419.424629999790341,611118.972769999993034
0,0,0,4074403.868679999839514,611129.382269999943674
0,0,0,4074410.397520000115037,611168.888404999976046
0,0,0,4074404.468259999994189,611183.495014999993145
0,0,0,4074413.711899999994785,611215.439689000020735
2,2,2,4074413.095660000108182,611228.047675000037998
0,0,0,4074410.947139999829233,611253.197027000016533
3,0,0,4074413.145620000082999,611299.065447999979369
0,0,0,4074412.446109999902546,611328.711704000015743
0,0,0,4074418.458629999775440,611373.980536999995820
0,0,0,4074410.963789999950677,611384.906349000055343
3,3,3,4074406.916579999960959,611401.861341999960132
0,0,0,4074416.143560000229627,611421.597753999987617
2,2,2,4074392.143420000094920,611093.440349000040442
0,0,0,4074401.287119999993593,611133.179655999992974
0,0,0,4074395.607700000051409,611152.749516000039876
1,0,0,4074389.362000000197440,611166.556677000015043
2,0,0,4074396.457109999842942,611191.589442000025883
1,1,1,4074396.823530000168830,611234.143477999954484
1,2,2,4074395.890840000007302,611224.533428000053391
0,0,0,4074387.496619999874383,611231.595233000000007
0,0,0,4074392.693039999809116,611268.636397000052966
0,0,0,4074389.845000000204891,611323.432004999951459
0,0,0,4074400.021329999901354,611355.360024000052363
0,0,0,4074394.142039999831468,611370.366358999977820
0,0,0,4074395.874179999809712,611398.496992000029422
0,0,0,4074383.049680000171065,611100.868568000034429
0,0,0,4074372.723449999932200,611116.324592999997549
0,0,0,4074384.098960000090301,611144.755020000040531
0,0,0,4074377.286979999858886,611161.127081000013277
0,0,0,4074373.905970000196248,611196.602656999952160
0,0,0,4074373.139829999767244,611226.665293000056408
2,2,2,4074379.152360000181943,611269.036121999961324
0,0,0,4074378.752640000078827,611258.393448999966495
0,0,0,4074385.364750000182539,611313.405574999982491
0,0,0,4074372.606869999784976,611336.223199000000022
0,0,0,4074383.932399999815971,611375.296298000030220
0,0,0,4074372.023940000217408,611391.851567000034265
0,0,0,4074368.992690000217408,611475.727153999963775
1,2,2,4074371.441000000108033,611559.352913000038825
2,0,0,4074369.725519999861717,611625.174264000030234
0,0,0,4074360.715050000231713,611114.259349000058137
0,0,0,4074361.114779999945313,611149.884821000043303
0,0,0,4074362.413879999890924,611177.465833000023849
0,0,0,4074356.501290000043809,611195.653310999972746
0,0,0,4074362.680370000191033,611234.359995999955572
0,0,0,4074364.895510000176728,611257.477412999956869
0,0,0,4074361.830949999857694,611293.952301000012085
0,0,0,4074352.370800000149757,611314.971163999987766
0,0,0,4074357.367360000032932,611347.681976999971084
2,0,0,4074365.112029999960214,611361.622378999949433
0,0,0,4074364.845540000125766,611381.875101999961771
0,0,0,4074358.183459999971092,611404.143105000024661
0,0,0,4074355.868389999959618,611447.230106999981217
0,0,0,4074365.911479999776930,611487.002725000027567
0,0,0,4074359.715739999897778,611506.289446000009775
0,0,0,4074352.820489999838173,611518.264534999965690
0,0,0,4074361.797640000004321,611553.057248000055552
0,0,0,4074356.184839999768883,611563.783197000040673
0,0,0,4074366.527720000129193,611611.183896000031382
2,0,0,4074360.964879999868572,611617.179768000030890
0,0,0,4074345.059169999789447,611140.457978000049479
0,0,0,4074337.597639999818057,611155.914004000020213
0,0,0,4074348.923169999849051,611192.688684999942780
0,0,0,4074340.445679999887943,611208.777608999982476
0,0,0,4074341.511609999928623,611243.370458999997936
0,0,0,4074346.474859999958426,611306.776805000030436
1,1,1,4074336.798190000001341,611303.645628000027500
0,0,0,4074350.055730000138283,611339.237790000042878
0,0,0,4074344.009889999870211,611350.430084999999963
0,0,0,4074348.290279999841005,611386.721765000023879
0,0,0,4074342.977270000148565,611409.356182000017725
0,0,0,4074336.848149999976158,611423.563068000017665
0,0,0,4074345.692059999797493,611456.207260000053793
0,0,0,4074351.687940000090748,611493.481597000034526
0,0,0,4074344.176440000068396,611500.709953999961726
0,0,0,4074336.415120000019670,611521.062609000015073
1,2,2,4074348.090410000178963,611553.340385999996215
