Classified,GrndTruth,Latitude,Longitude
1,1,4074430.207020000088960,611084.424683999968693
0,0,4074430.275679999962449,611106.498359999968670
2,0,4074426.945739999879152,611115.612761999946088
0,0,4074428.404740000143647,611145.290355999954045
0,0,4074424.851660000160336,611187.154815000016242
1,1,4074423.289679999928921,611217.175701000029221
0,0,4074430.052540000062436,611242.991259000031278
2,1,4074414.329760000109673,611240.794190000044182
0,0,4074425.967360000126064,611270.609100000001490
1,1,4074416.595490000210702,611269.579223999986425
0,0,4074429.056989999953657,611342.837736999965273
0,0,4074419.753779999911785,611377.544558000052348
0,0,4074424.456879999954253,611406.724378000013530
0,0,4074430.618970000185072,611449.412739000050351
2,1,4074407.069139999803156,611118.067299999995157
0,0,4074401.456309999804944,611131.163889999967068
3,0,4074409.472180000040680,611169.715581999975257
0,0,4074402.846650000195950,611170.934267999953590
1,1,4074402.674999999813735,611158.541426999960095
2,0,4074411.858059999998659,611205.761242000036873
0,0,4074398.778640000149608,611195.359493999974802
0,0,4074399.413730000145733,611251.007127000018954
1,1,4074413.454369999933988,611265.854505999945104
0,0,4074407.498250000178814,611330.822517000022344
0,0,4074397.268149999901652,611344.434045000001788
0,0,4074402.623509999830276,611384.376068999990821
0,0,4074400.992870000191033,611404.904930999968201
2,0,4074387.964939999859780,611102.396019999985583
0,0,4074393.594930000137538,611115.715749999973923
2,0,4074394.109860000200570,611128.263073000009172
0,0,4074378.747549999970943,611149.615834999945946
1,1,4074394.521809999831021,611189.025756999966688
0,0,4074389.612739999778569,611185.918963999953121
0,0,4074379.296810000203550,611235.696303999982774
1,1,4074384.429030000232160,611267.845600000000559
0,0,4074396.015130000188947,611310.053350999951363
2,0,4074382.695410000160336,611333.809158000047319
0,0,4074380.292359999846667,611329.243373999954201
0,0,4074386.523109999950975,611368.104028000030667
0,0,4074387.072379999794066,611400.648109999950975
0,0,4074362.818800000008196,611083.772429000004195
2,0,4074364.809890000149608,611102.138551000040025
0,0,4074377.803489999845624,611145.856787999975495
0,0,4074369.392839999869466,611176.581421999959275
2,0,4074364.947209999896586,611192.115385000011884
1,1,4074367.315919999964535,611196.011749000055715
0,0,4074375.915390000212938,611242.733789999969304
0,0,4074363.110599999781698,611246.853294000029564
0,0,4074365.650960000231862,611308.148080999962986
0,0,4074368.980889999773353,611347.283368999953382
0,0,4074368.586099999956787,611381.423758000019006
