GrndTruth,Classified,RASTERVALU,Latitude,Longitude
0,0,0,4074773.881829999852926,610636.355451000039466
0,1,1,4074773.496160000097007,610636.921087999944575
0,0,0,4074771.387879999820143,610691.196587000042200
0,0,0,4074790.053919999860227,610734.879236000007950
0,0,0,4074784.089010000228882,610741.075538999983110
2,0,0,4074778.972560000140220,610748.840200999984518
0,0,0,4074778.844010000117123,610763.521068000001833
0,0,0,4074772.004939999897033,610767.737639000057243
0,0,0,4074773.316190000157803,610804.298396000056528
2,2,2,4074784.037589999847114,610830.883364000008442
0,0,0,4074774.524600000120699,610844.638642000034451
0,0,0,4074782.289259999990463,610900.533920999965630
0,0,0,4074788.716959999874234,610931.026930000050925
0,2,2,4074781.209400000050664,610919.971285999985412
0,0,0,4074774.498889999929816,610915.780425000004470
2,1,1,4074774.396040000021458,610917.760157000040635
0,0,0,4074786.582959999796003,610944.962183000054210
0,0,0,4074771.233609999995679,610938.637326000025496
2,0,0,4074780.566629999782890,610966.225014999974519
0,0,0,4074787.585680000018328,610996.358071999973617
0,0,0,4074777.044249999802560,610995.355350999976508
0,0,0,4074787.559969999827445,611027.673826999962330
2,2,2,4074776.247219999786466,611025.025614000041969
2,2,2,4074772.544859999790788,611019.369238000013866
0,0,0,4074787.585680000018328,611063.900343999965116
0,0,0,4074778.355510000139475,611069.093925999943167
1,1,1,4074790.825240000151098,611094.907569000031799
2,0,0,4074789.308310000225902,611071.356476000044495
0,0,0,4074780.463789999950677,611073.721870000008494
0,0,0,4074791.827959999907762,611108.739978999947198
0,0,0,4074782.160699999891222,611101.232425999944098
0,0,0,4074771.619280000217259,611102.723651999956928
0,0,0,4074784.474679999984801,611147.023359999991953
2,0,0,4074773.753270000219345,611127.868814000044949
0,0,0,4074788.716959999874234,611171.859993000049144
0,0,0,4074775.964399999938905,611153.836722000036389
2,1,1,4074774.138929999899119,611166.897808999987319
0,0,0,4074788.202740000095218,611184.818236000020988
2,2,2,4074787.868499999865890,611184.381153000053018
0,0,0,4074772.416309999767691,611182.632818000041880
0,0,0,4074754.495879999827594,610607.456511999946088
1,1,1,4074753.030369999818504,610605.888153000036255
0,0,0,4074763.468950000125915,610622.394485999946482
0,0,0,4074754.110220000147820,610623.782869999995455
0,0,0,4074767.197019999846816,610664.148826000047848
2,1,1,4074762.209119999781251,610671.553535999963060
0,0,0,4074766.194300000090152,610691.762224999954924
2,0,0,4074756.475610000081360,610689.499673999962397
0,0,0,4074753.416029999963939,610687.494231999968179
0,0,0,4074766.708509999793023,610714.027777999988757
2,1,1,4074759.226669999770820,610725.983299999963492
0,0,0,4074755.292919999919832,610705.260394999990240
0,0,0,4074747.785360000096262,610721.098248000023887
0,0,0,4074762.671920000109822,610753.236748000024818
0,0,0,4074749.610830000136048,610749.997187000000849
0,0,0,4074761.386380000039935,610755.756406000000425
0,0,0,4074749.250880000181496,610778.407620999962091
0,0,0,4074762.517649999819696,610785.735198999987915
0,0,0,4074752.310469999909401,610803.218543000053614
0,0,0,4074767.891210000030696,610807.075163000030443
1,1,1,4074758.352500000037253,610819.467767999973148
0,2,2,4074755.395760000217706,610819.904851999948733
0,0,0,4074749.405139999929816,610819.853430000017397
0,0,0,4074759.920859999954700,610853.148916000034660
0,0,0,4074754.444459999911487,610871.326451999950223
0,0,0,4074748.171029999852180,610877.856995000038296
2,2,2,4074769.896650000009686,610902.385098000057042
0,0,0,4074763.186129999812692,610891.612272999947891
0,2,2,4074753.236049999948591,610905.598947999998927
0,0,0,4074752.824680000077933,610906.036031999974512
0,0,0,4074765.602950000204146,610931.309747999999672
0,0,0,4074756.115660000126809,610924.984891999978572
0,0,0,4074766.657089999876916,610945.887772000045516
2,2,2,4074761.412090000230819,610962.342684000032023
2,0,0,4074752.284750000108033,610944.165148000000045
0,0,0,4074759.792309999931604,610982.859902000054717
1,1,1,4074752.850389999803156,610982.654215999995358
2,0,0,4074766.168589999899268,610994.352629999979399
2,0,0,4074757.735439999960363,610997.437925999984145
1,2,2,4074754.290200000163168,611015.358354000025429
0,0,0,4074745.342840000055730,611009.419159000040963
0,0,0,4074758.352500000037253,611022.480244999984279
0,0,0,4074749.250880000181496,611032.456036000046879
1,2,2,4074763.443239999935031,611069.171057999948971
2,0,0,4074763.366109999828041,611050.222197999944910
0,0,0,4074751.127770000137389,611053.744578000041656
0,0,0,4074768.071190000046045,611077.861308000050485
1,1,1,4074757.529759999830276,611072.050668000010774
0,0,0,4074754.881550000049174,611094.316220000036992
0,0,0,4074768.148320000153035,611108.894243999966420
1,0,0,4074756.089949999935925,611111.645299999974668
1,2,2,4074753.056080000009388,611120.309838999994099
0,0,0,4074763.674639999866486,611147.846106000011787
0,0,0,4074748.788089999929070,611127.740259999991395
1,1,1,4074770.565130000002682,611160.958614000002854
0,0,0,4074758.198239999823272,611160.135867999983020
1,0,0,4074753.853110000025481,611167.154916999978013
0,0,0,4074766.579959999769926,611179.238993000006303
1,1,1,4074759.715179999824613,611195.719615999958478
0,0,0,4074751.744830000214279,611191.348780000000261
0,0,0,4074736.344060000032187,610579.843112000031397
2,0,0,4074721.354660000186414,610586.913581999950111
1,2,2,4074721.354660000186414,610588.044858000008389
2,0,0,4074729.453559999819845,610602.879989000037313
1,1,1,4074723.308679999783635,610598.252044999971986
2,2,2,4074742.951729999855161,610642.371778000029735
2,0,0,4074734.852830000221729,610644.840014999965206
1,1,1,4074724.928460000082850,610626.071130999946035
0,0,0,4074739.712170000188053,610665.974292000057176
2,2,2,4074721.971719999797642,610658.903822000022046
0,0,0,4074743.800189999863505,610675.255891000037082
0,0,0,4074733.130210000090301,610693.433426999952644
2,1,1,4074722.948729999829084,610688.754060999955982
0,0,0,4074738.683739999774843,610709.554098000051454
0,0,0,4074730.584840000141412,610707.111571999965236
0,0,0,4074741.589060000143945,610731.999626999953762
0,0,0,4074732.281750000081956,610745.266399999964051
0,2,2,4074728.887930000200868,610752.362579999957234
0,0,0,4074741.434799999929965,610755.113635999965481
0,0,0,4074733.027369999792427,610771.054331999970600
0,0,0,4074743.645930000115186,610789.283289000042714
0,0,0,4074731.896089999936521,610780.747303999960423
0,0,0,4074719.040690000168979,610805.223985000047833
0,0,0,4074733.438740000128746,610813.117200999986380
2,1,1,4074729.376430000178516,610809.337713000015356
0,0,0,4074721.946010000072420,610811.060336999944411
2,0,0,4074731.896089999936521,610845.821338000008836
0,0,0,4074718.886429999954998,610834.045792000018992
0,0,0,4074739.917859999928623,610901.176691000000574
2,2,2,4074738.195239999797195,610905.161865000030957
2,0,0,4074734.595720000099391,610918.068685999955051
0,0,0,4074735.701290000230074,610955.452189999981783
0,0,0,4074724.028589999768883,610963.268273000023328
1,1,1,4074737.835280000232160,610970.235899999970570
