Classified,GrndTruth,Latitude,Longitude
1,1,4074621.457830000203103,611186.482318999944255
0,0,4074620.852820000145584,611193.360362999956124
0,0,4074592.385350000113249,611237.096448999946006
0,0,4074576.559479999821633,611062.486455000005662
0,0,4074581.622489999979734,611197.245185000007041
0,0,4074591.414150000084192,611303.950408000033349
0,0,4074567.707179999910295,611050.831990999984555
1,0,4074559.985299999825656,611074.347898000036366
0,1,4074564.347769999876618,611119.214403999969363
0,1,4074574.234960000030696,611206.224855000036769
0,0,4074560.510710000060499,611271.263773999991827
0,0,4074561.259020000230521,611359.420565000036731
0,0,4074545.051030000206083,611054.844183000037447
1,1,4074554.842689999844879,611122.478291000006720
0,0,4074543.745480000041425,611118.768603999982588
0,1,4074549.811530000064522,611179.604274000041187
0,0,4074543.841000000014901,611291.308816000004299
0,0,4074544.573390000034124,611330.029661000007764
1,0,4074533.364719999954104,611016.441767000011168
0,0,4074529.432140000164509,611014.976998000056483
0,0,4074532.520889999810606,611079.984074000036344
0,0,4074527.648940000217408,611114.851939999964088
0,0,4074528.238030000124127,611197.038207000005059
1,1,4074530.068990000057966,611222.942324999952689
0,0,4074538.268509999848902,611323.692944000009447
0,0,4074529.734639999922365,611365.247797999996692
0,0,4074520.165880000218749,611073.599593000020832
1,1,4074516.360669999849051,611106.525048000039533
0,0,4074523.413850000128150,611139.577873999951407
0,1,4074519.529029999859631,611210.523632999975234
0,0,4074515.071030000224710,611297.247498000040650
0,0,4074512.794269999954849,611354.134660999989137
1,0,4074503.878289999905974,611029.799820999964140
0,0,4074499.786489999853075,611068.918701000045985
0,0,4074496.379310000222176,611120.567722999956459
0,1,4074509.004980000201613,611211.590365999960341
1,1,4074498.273959999904037,611285.672641000011936
0,1,4074495.328499999828637,611287.742423000046983
0,0,4074506.664539999794215,611343.658379000029527
0,0,4074497.955529999919236,611415.272836999967694
0,0,4074479.088669999968261,611084.696807999978773
0,1,4074491.459600000176579,611151.566687999991700
0,0,4074480.983320000115782,611207.164217000012286
0,0,4074491.698419999796897,611299.396886999951676
0,0,4074485.711970000062138,611342.782701999996789
0,0,4074493.099500000011176,611408.490319999982603
0,0,4074483.658110000193119,611461.906617000000551
1,1,4074477.910490000154823,611047.297439999994822
0,0,4074474.360009999945760,611124.484386999974959
0,0,4074471.159810000099242,611164.558550999965519
0,0,4074471.462319999933243,611233.975854999967851
1,1,4074465.619169999845326,611285.768169000046328
0,0,4074469.026349999941885,611324.839284999994561
0,0,4074462.371199999935925,611368.973405000055209
0,0,4074469.615439999848604,611436.878175999969244
0,0,4074453.996540000196546,611093.421735999989323
0,0,4074460.874590000137687,611161.199135000002570
0,0,4074449.060910000000149,611196.480957999941893
1,1,4074459.362060000188649,611290.066946999984793
0,0,4074461.033799999859184,611317.165170000051148
0,0,4074452.165579999797046,611373.813511000014842
0,0,4074456.321070000063628,611435.652228999999352
0,0,4074442.851559999864548,611095.825867000035942
0,0,4074433.473859999794513,611134.100912999943830
0,0,4074442.310240000020713,611212.020244000013918
0,0,4074434.047030000016093,611268.366079000057653
0,0,4074431.117490000091493,611374.100096000009216
0,0,4074444.602919999975711,611428.742341000004672
