GrndTruth,RASTERVALU,Classified,Latitude,Longitude
0,0,0,4074624.156080000102520,611190.361527999979444
0,0,0,4074619.196080000139773,611233.641528000007384
0,0,0,4074611.316079999785870,611278.361527999979444
0,0,0,4074587.476079999934882,611200.061528000049293
0,2,2,4074596.376079999841750,611208.881527999998070
0,0,0,4074587.876079999841750,611225.581527999951504
0,0,0,4074590.716080000158399,611285.081527999951504
0,0,0,4074589.156080000102520,611300.181528000044636
0,0,0,4074577.236080000177026,611035.921528000035323
0,0,0,4074565.996079999953508,611047.181528000044636
0,0,0,4074580.616080000065267,611082.321527999942191
0,0,0,4074567.916079999879003,611114.681528000044636
0,0,0,4074577.116080000065267,611159.081527999951504
0,0,0,4074570.356079999823123,611173.801528000039980
0,0,0,4074572.616080000065267,611202.661528000026010
0,0,0,4074574.176080000121146,611224.761528000002727
0,0,0,4074574.796079999767244,611229.341527999960817
0,0,0,4074572.156080000102520,611272.981527999974787
0,0,0,4074583.436079999897629,611316.121527999988757
0,0,0,4074564.456079999916255,611311.881527999998070
0,0,0,4074557.096080000046641,611023.721527999965474
0,0,0,4074555.176080000121146,611052.401528000016697
1,0,0,4074557.056080000009388,611074.221527999965474
0,0,0,4074557.736080000177026,611089.841527999960817
0,0,0,4074553.556080000009388,611114.601527999970131
0,0,0,4074550.056080000009388,611139.161528000026010
1,0,0,4074545.216080000158399,611151.921528000035323
0,0,0,4074546.756080000195652,611164.381527999998070
1,0,0,4074545.376079999841750,611195.721527999965474
0,0,0,4074560.036079999990761,611230.881527999998070
0,0,0,4074546.296079999767244,611246.401528000016697
0,0,0,4074562.056080000009388,611302.341527999960817
0,0,0,4074562.776080000214279,611319.641528000007384
0,0,0,4074542.956079999916255,611317.821527999942191
0,0,0,4074542.776080000214279,611343.301528000039980
0,0,0,4074544.776080000214279,611359.901528000016697
0,0,0,4074542.796079999767244,611376.521528000012040
1,2,2,4074532.536079999990761,611012.161528000026010
0,0,0,4074540.736080000177026,611026.161528000026010
0,0,0,4074540.036079999990761,611056.501527999993414
0,0,0,4074539.196080000139773,611077.581527999951504
0,0,0,4074540.796079999767244,611083.101527999970131
0,0,0,4074541.416079999879003,611122.061528000049293
0,0,0,4074542.076080000028014,611138.881527999998070
0,0,0,4074530.996079999953508,611162.321527999942191
0,0,0,4074530.736080000177026,611180.261528000002727
0,0,0,4074525.656080000102520,611188.141528000007384
1,2,2,4074535.696080000139773,611237.981527999974787
0,0,0,4074535.296079999767244,611243.321527999942191
0,0,0,4074536.076080000028014,611271.501527999993414
0,0,0,4074531.516079999972135,611288.221527999965474
0,0,0,4074527.176080000121146,611313.101527999970131
0,0,0,4074523.496079999953508,611338.401528000016697
0,0,0,4074524.836079999804497,611366.101527999970131
0,0,0,4074509.616080000065267,611019.841527999960817
0,0,0,4074505.396079999860376,611040.181528000044636
1,0,0,4074503.456079999916255,611052.361527999979444
0,0,0,4074503.856079999823123,611062.001527999993414
0,0,0,4074504.196080000139773,611085.141528000007384
0,0,0,4074502.696080000139773,611113.401528000016697
0,0,0,4074503.656080000102520,611128.861527999979444
0,0,0,4074520.216080000158399,611171.301528000039980
0,0,0,4074510.256080000195652,611195.601527999970131
0,0,0,4074506.776080000214279,611207.201527999946848
1,1,1,4074511.396079999860376,611243.041528000030667
0,0,0,4074506.176080000121146,611240.561528000049293
1,0,0,4074507.596080000046641,611282.001527999993414
0,0,0,4074520.376079999841750,611315.381527999998070
0,0,0,4074518.676080000121146,611343.361527999979444
0,0,0,4074522.096080000046641,611365.181528000044636
0,0,0,4074503.316079999785870,611368.081527999951504
0,0,0,4074492.476079999934882,611041.041528000030667
1,0,0,4074487.616080000065267,611048.261528000002727
0,0,0,4074483.996079999953508,611067.081527999951504
0,0,0,4074485.356079999823123,611089.021528000012040
0,0,0,4074486.456079999916255,611121.881527999998070
0,0,0,4074481.616080000065267,611140.721527999965474
0,0,0,4074481.756080000195652,611151.261528000002727
0,0,0,4074501.516079999972135,611188.261528000002727
0,0,0,4074495.416079999879003,611224.381527999998070
0,0,0,4074491.836079999804497,611234.001527999993414
0,0,0,4074495.976079999934882,611285.161528000026010
0,0,0,4074484.576080000028014,611301.481527999974787
0,0,0,4074481.796079999767244,611315.361527999979444
0,0,0,4074485.716080000158399,611332.161528000026010
0,0,0,4074498.716080000158399,611389.361527999979444
0,0,0,4074483.256080000195652,611378.361527999979444
0,0,0,4074483.096080000046641,611393.961527999956161
0,0,0,4074494.836079999804497,611432.761528000002727
0,0,0,4074484.056080000009388,611452.781528000021353
1,1,1,4074467.876079999841750,611056.801528000039980
0,0,0,4074480.936079999897629,611065.121527999988757
0,0,0,4074480.916079999879003,611093.161528000026010
0,0,0,4074461.356079999823123,611091.361527999979444
0,0,0,4074478.696080000139773,611139.901528000016697
0,0,0,4074476.616080000065267,611147.741527999984100
0,0,0,4074481.056080000009388,611174.341527999960817
0,0,0,4074480.256080000195652,611184.961527999956161
0,0,0,4074479.156080000102520,611206.281528000021353
0,0,0,4074471.616080000065267,611230.041528000030667
1,0,0,4074465.416079999879003,611250.741527999984100
0,0,0,4074466.436079999897629,611291.861527999979444
0,0,0,4074467.216080000158399,611316.541528000030667
0,0,0,4074479.856079999823123,611353.061528000049293
0,0,0,4074461.896079999860376,611354.701527999946848
0,0,0,4074462.916079999879003,611378.681528000044636
0,0,0,4074462.836079999804497,611399.161528000026010
0,0,0,4074478.296079999767244,611446.401528000016697
0,0,0,4074472.916079999879003,611460.181528000044636
0,0,0,4074454.676080000121146,611056.381527999998070
0,0,0,4074455.876079999841750,611087.641528000007384
1,2,2,4074443.616080000065267,611082.461527999956161
0,0,0,4074453.576080000028014,611109.201527999946848
0,0,0,4074450.056080000009388,611126.661528000026010
0,0,0,4074452.816079999785870,611144.561528000049293
0,0,0,4074445.136080000083894,611183.901528000016697
0,0,0,4074446.616080000065267,611196.761528000002727
0,0,0,4074456.876079999841750,611232.781528000021353
0,0,0,4074455.376079999841750,611264.721527999965474
0,0,0,4074459.736080000177026,611305.521528000012040
0,0,0,4074455.456079999916255,611342.761528000002727
0,0,0,4074457.356079999823123,611357.701527999946848
0,0,0,4074455.896079999860376,611373.301528000039980
0,0,0,4074443.556080000009388,611402.961527999956161
0,0,0,4074444.836079999804497,611414.961527999956161
0,0,0,4074446.196080000139773,611437.561528000049293
0,0,0,4074449.056080000009388,611462.281528000021353
0,0,0,4074436.596080000046641,611087.221527999965474
0,0,0,4074428.816079999785870,611108.181528000044636
0,0,0,4074427.536079999990761,611128.501527999993414
0,0,0,4074425.896079999860376,611161.041528000030667
0,0,0,4074427.296079999767244,611173.961527999956161
0,0,0,4074429.296079999767244,611204.921528000035323
0,0,0,4074424.096080000046641,611208.881527999998070
0,0,0,4074438.916079999879003,611248.961527999956161
0,0,0,4074435.316079999785870,611274.681528000044636
0,0,0,4074436.756080000195652,611323.321527999942191
0,0,0,4074428.776080000214279,611339.241527999984100
0,0,0,4074437.716080000158399,611388.561528000049293
0,0,0,4074439.516079999972135,611391.921528000035323
0,0,0,4074420.196080000139773,611392.981527999974787
0,0,0,4074421.176080000121146,611416.681528000044636
0,0,0,4074422.376079999841750,611448.161528000026010
1,0,0,4074411.936079999897629,611104.881527999998070
0,0,0,4074409.916079999879003,611105.961527999956161
0,0,0,4074404.956079999916255,611143.581527999951504
0,0,0,4074404.456079999916255,611150.561528000049293
0,0,0,4074406.196080000139773,611166.541528000030667
0,0,0,4074407.356079999823123,611195.581527999951504
0,0,0,4074400.396079999860376,611215.361527999979444
0,0,0,4074418.056080000009388,611251.161528000026010
0,0,0,4074416.536079999990761,611279.361527999979444
0,0,0,4074416.436079999897629,611314.821527999942191
0,0,0,4074412.976079999934882,611328.401528000016697
1,0,0,4074414.576080000028014,611348.981527999974787
0,0,0,4074414.676080000121146,611374.101527999970131
0,0,0,4074416.316079999785870,611389.821527999942191
0,0,0,4074411.596080000046641,611417.861527999979444
1,0,0,4074380.436079999897629,611080.101527999970131
0,0,0,4074393.256080000195652,611113.881527999998070
0,0,0,4074393.396079999860376,611126.281528000021353
0,0,0,4074393.216080000158399,611156.841527999960817
0,0,0,4074398.476079999934882,611165.141528000007384
0,0,0,4074379.396079999860376,611165.661528000026010
0,0,0,4074383.316079999785870,611212.121527999988757
1,0,0,4074382.176080000121146,611237.221527999965474
0,0,0,4074382.616080000065267,611252.301528000039980
0,0,0,4074398.476079999934882,611318.981527999974787
0,0,0,4074399.276080000214279,611338.561528000049293
0,0,0,4074379.696080000139773,611334.181528000044636
0,0,0,4074380.036079999990761,611368.021528000012040
0,0,0,4074394.416079999879003,611402.781528000021353
0,0,0,4074393.976079999934882,611416.741527999984100
1,1,1,4074374.696080000139773,611092.961527999956161
0,0,0,4074361.016079999972135,611084.541528000030667
0,0,0,4074359.696080000139773,611120.681528000044636
0,0,0,4074377.156080000102520,611152.561528000049293
0,0,0,4074374.756080000195652,611168.021528000012040
0,0,0,4074372.796079999767244,611187.681528000044636
0,0,0,4074368.896079999860376,611225.501527999993414
0,0,0,4074368.336079999804497,611241.101527999970131
0,0,0,4074367.236080000177026,611251.821527999942191
0,0,0,4074372.396079999860376,611295.001527999993414
