GrndTruth,Classified,RASTERVALU,Latitude,Longitude
2,1,1,4074745.932599999941885,610591.638223999994807
0,0,0,4074769.328000000212342,610632.173424000036903
0,0,0,4074765.767899999860674,610637.106824000016786
0,0,0,4074757.731999999843538,610630.647623999975622
0,0,0,4074745.322300000116229,610627.036623999942094
1,0,0,4074777.109600000083447,610688.220823999959975
1,1,1,4074776.041499999817461,610668.995823999983259
0,0,0,4074772.328799999784678,610687.661424000049010
0,0,0,4074766.581600000150502,610670.470823999959975
0,0,0,4074753.103800000157207,610673.827523999963887
0,0,0,4074751.323700000066310,610681.303924000007100
0,0,0,4074746.034299999941140,610688.475123999989592
1,1,1,4074781.839499999769032,610717.770324000041001
1,0,0,4074779.652600000146776,610727.993124000029638
0,0,0,4074773.396800000220537,610745.743124000029638
0,0,0,4074770.192700000014156,610724.992424000054598
0,0,0,4074765.462700000032783,610750.167923999950290
0,0,0,4074760.427600000053644,610705.665723999962211
0,0,0,4074755.494200000073761,610701.342624000040814
0,0,0,4074779.347399999853224,610786.736124000046402
0,0,0,4074778.940500000026077,610792.839223999995738
0,0,0,4074778.788000000175089,610769.291224000044167
0,0,0,4074774.566600000020117,610792.534123999997973
0,0,0,4074767.598799999803305,610757.796924000023864
1,1,1,4074764.140399999916553,610784.549124000011943
0,0,0,4074756.460500000044703,610754.897924000048079
0,0,0,4074754.476999999955297,610800.112224000040442
0,0,0,4074749.187599999830127,610786.176623999956064
1,1,1,4074779.143999999854714,610836.426024000043981
1,0,0,4074776.295799999963492,610853.057124000042677
0,0,0,4074767.751399999950081,610848.276323999976739
0,0,0,4074755.443400000222027,610811.352123999968171
1,2,2,4074753.612399999983609,610817.862224000040442
0,0,0,4074783.111000000033528,610906.154623999958858
0,0,0,4074776.550100000109524,610881.538523999974132
1,0,0,4074771.718499999959022,610896.694723999942653
0,0,0,4074767.344500000122935,610881.538523999974132
0,0,0,4074760.325900000054389,610904.832323999959044
0,0,0,4074756.663999999873340,610896.135324000031687
0,0,0,4074752.340900000184774,610862.161024000030011
0,0,0,4074745.017099999822676,610883.878124000038952
0,0,0,4074787.179800000041723,610928.787223999970593
1,1,1,4074781.534399999771267,610913.783624000032432
0,0,0,4074777.669000000227243,610945.977823999943212
0,0,0,4074772.328799999784678,610913.122423999942839
0,0,0,4074767.191899999976158,610931.025023999973200
0,0,0,4074758.291499999817461,610950.351723999949172
1,1,1,4074758.138900000136346,610939.366023999988101
0,0,0,4074753.917599999811500,610910.681123999995179
0,1,1,4074751.171099999919534,610952.487823999952525
1,1,1,4074789.265099999960512,610987.581023999955505
1,0,0,4074785.959199999924749,610993.531624000053853
0,0,0,4074782.043000000063330,610970.339624000014737
0,0,0,4074776.906099999789149,610995.616824000026099
0,0,0,4074774.007100000046194,610984.732924000010826
1,0,0,4074768.768600000068545,610988.038723999983631
1,0,0,4074763.784299999941140,610983.410523999948055
0,0,0,4074756.257100000046194,610972.984323999960907
1,0,0,4074752.137500000186265,610961.439124000025913
1,1,1,4074746.441199999768287,610972.017924000043422
0,0,0,4074790.027900000102818,611022.572523999959230
1,1,1,4074784.941999999806285,611026.336124000023119
0,0,0,4074780.364599999971688,611041.950024000019766
0,0,0,4074775.024300000164658,611027.505924000055529
1,1,1,4074772.023599999956787,611057.309724000049755
1,1,1,4074767.344500000122935,611051.715123999980278
1,0,0,4074761.088800000026822,611048.358423999976367
0,0,0,4074756.460500000044703,611022.877623999956995
1,1,1,4074755.290800000075251,611062.293923999997787
0,1,1,4074753.256399999838322,611034.626224000006914
1,0,0,4074788.349599999841303,611082.942923999973573
0,0,0,4074785.247099999804050,611111.119224000023678
0,0,0,4074785.145399999804795,611082.332624000031501
0,0,0,4074781.890399999916553,611113.153624000027776
0,0,0,4074776.499299999792129,611090.215924000018276
0,0,0,4074770.141799999866635,611099.268923999974504
1,1,1,4074767.598799999803305,611078.721623999997973
1,0,0,4074761.851699999999255,611108.372823999961838
0,0,0,4074756.765699999872595,611079.077624000026844
1,1,1,4074749.035000000149012,611087.215224000043236
0,0,0,4074747.611000000033528,611093.267524000024423
0,0,0,4074790.841700000222772,611154.960323999985121
0,0,0,4074788.858200000133365,611161.419524000026286
0,0,0,4074781.076599999796599,611157.096423999988474
1,0,0,4074776.092399999964982,611144.686623999965377
0,0,0,4074771.565899999812245,611147.585624000057578
0,0,0,4074765.920400000177324,611131.717424000031315
1,1,1,4074765.869599999859929,611140.363524000043981
0,0,0,4074760.376699999906123,611120.680824000039138
1,2,2,4074751.323700000066310,611126.478924000053667
1,1,1,4074748.272100000176579,611164.674524000030942
1,2,2,4074746.186900000087917,611128.106423999997787
0,0,0,4074788.603899999987334,611189.494024000014178
1,1,1,4074782.093799999915063,611173.625823999987915
1,0,0,4074758.444099999964237,611172.354323999956250
1,1,1,4074757.528599999845028,611170.523424000013620
1,1,1,4074755.748500000219792,611191.274123999988660
1,1,1,4074750.204799999948591,611175.711023999960162
0,0,0,4074738.049300000071526,610580.652623999980278
0,0,0,4074725.232700000051409,610585.026523999986239
0,0,0,4074706.516299999784678,610571.141824000049382
1,1,1,4074702.549300000071526,610572.972723999992013
1,1,1,4074699.904600000008941,610590.519323999993503
0,0,0,4074743.745600000023842,610612.185624000034295
1,1,1,4074739.880299999844283,610597.232823999947868
1,1,1,4074735.252100000157952,610636.649123999988660
1,1,1,4074730.013499999884516,610609.235724000027403
1,1,1,4074729.352299999911338,610599.572424000012688
1,0,0,4074721.469099999871105,610627.697824000031687
1,1,1,4074718.010600000154227,610620.374024000018835
1,1,1,4074711.856600000057369,610599.572424000012688
1,1,1,4074707.635199999902397,610641.735024000052363
1,1,1,4074701.582899999804795,610611.575224000029266
1,1,1,4074697.819300000090152,610600.487823999952525
0,0,0,4074743.389599999878556,610690.102624000050128
0,0,0,4074735.506300000008196,610679.981523999944329
0,0,0,4074731.030700000002980,610654.551724000019021
1,1,1,4074718.976900000125170,610665.690024000010453
0,2,2,4074718.264899999834597,610667.164924000040628
1,1,1,4074717.552900000009686,610653.687124000047334
1,1,1,4074706.617999999783933,610669.148424000013620
1,1,1,4074702.854400000069290,610683.999523999984376
1,1,1,4074698.429599999915808,610696.968724000034854
0,0,0,4074695.021999999880791,610688.119123999960721
0,0,0,4074736.014899999834597,610746.099224000005051
1,0,0,4074735.760600000154227,610732.723124000011012
1,0,0,4074732.912500000093132,610701.342624000040814
1,0,0,4074728.945400000084192,610733.791123999981210
1,0,0,4074722.282800000160933,610741.318323999992572
1,1,1,4074704.532800000160933,610725.501023999997415
1,1,1,4074704.329400000162423,610736.995324000017717
1,1,1,4074696.496999999973923,610717.668624000041746
0,0,0,4074694.564300000201911,610701.596923999954015
0,0,0,4074742.779300000052899,610770.003223999985494
0,0,0,4074733.370199999772012,610766.188724000006914
0,0,0,4074730.064400000032037,610751.642924000043422
0,0,0,4074718.010600000154227,610762.577723999973387
0,0,0,4074716.077899999916553,610763.340623999945819
1,1,1,4074709.720499999821186,610782.769024000037462
0,0,0,4074705.600800000131130,610780.531224000034854
1,1,1,4074698.531299999915063,610756.423723999992944
