GrndTruth,Classified,RASTERVALU,Latitude,Longitude
1,1,1,4074764.283760000020266,610667.581887000007555
0,0,0,4074754.871679999865592,610649.120724000036716
0,0,0,4074768.639769999776036,610677.201398000004701
0,0,0,4074758.579470000229776,610690.762055999948643
1,1,1,4074748.778460000175983,610680.675829999963753
0,0,0,4074765.087549999821931,610712.490222000051290
1,1,1,4074756.790399999823421,610718.998300999985076
0,0,0,4074747.637600000016391,610722.913519999943674
0,0,0,4074764.776409999933094,610730.666170999989845
0,0,0,4074749.400750000029802,610741.945111999986693
1,0,0,4074768.924980000127107,610760.198846000013873
1,1,1,4074759.720329999923706,610773.707646999973804
0,0,0,4074756.505179999861866,610768.470070000039414
0,0,0,4074744.137240000069141,610759.809917000005953
0,0,0,4074762.365050000138581,610805.444252999965101
0,0,0,4074754.586469999980181,610787.968376999953762
0,0,0,4074745.355889999773353,610796.576671999995597
0,0,0,4074749.893389999866486,610809.463186000008136
0,0,0,4074768.484199999831617,610855.175307999947108
0,0,0,4074748.337679999880493,610860.620314000057988
0,0,0,4074761.276049999985844,610887.949059000005946
1,0,0,4074751.708389999810606,610885.511769999982789
0,0,0,4074768.432339999824762,610910.844012000015937
0,0,0,4074755.675470000132918,610905.995363999973051
0,0,0,4074748.493249999824911,610893.886707999976352
1,1,1,4074745.459600000176579,610892.927350000012666
0,1,1,4074763.894840000197291,610923.937954999972135
0,0,0,4074754.145680000074208,610923.289740000036545
0,0,0,4074744.059460000135005,610932.831465000053868
0,0,0,4074757.153400000184774,610966.460858999984339
0,0,0,4074769.443560000043362,610978.206514999968931
1,1,1,4074761.690899999812245,610970.090863000019453
0,0,0,4074757.386760000139475,610975.535869000013918
1,0,0,4074769.365770000033081,611006.857618000009097
0,0,0,4074758.838760000187904,611020.366418999969028
0,0,0,4074749.348890000022948,610997.315892999991775
0,0,0,4074764.361550000030547,611021.922135000000708
1,0,0,4074760.757470000069588,611032.812146999989636
0,0,0,4074753.393749999813735,611033.252932999981567
0,0,0,4074746.911600000225008,611040.227726000011899
0,0,0,4074755.442110000178218,611065.196968000032939
0,0,0,4074750.697180000133812,611065.274754000012763
0,0,0,4074768.276769999880344,611078.213125000009313
0,0,0,4074756.582969999872148,611086.691777999978513
1,1,1,4074754.067900000140071,611087.625206999946386
0,0,0,4074744.733599999919534,611077.487124999985099
0,0,0,4074760.913050000090152,611117.883883000002243
0,0,0,4074769.858409999869764,611142.101196000003256
1,0,0,4074767.135910000186414,611142.775339000043459
0,0,0,4074757.542330000083894,611147.235058999969624
0,0,0,4074766.928479999769479,611177.856735000037588
1,1,1,4074763.739260000176728,611167.874224000028335
0,0,0,4074751.682459999807179,611178.271593000041321
1,1,1,4074769.287980000022799,611180.916310000000522
0,0,0,4074766.280269999988377,611188.798604000010528
0,0,0,4074749.737819999922067,611184.001812999951653
0,0,0,4074734.725159999914467,610581.421148999943398
0,0,0,4074723.653650000225753,610580.772934000007808
1,1,1,4074737.369880000129342,610602.293672000057995
1,1,1,4074736.721659999806434,610618.913904999964871
0,0,0,4074724.198150000069290,610612.224325999966823
1,1,1,4074737.343950000125915,610625.914626999991015
0,0,0,4074736.877230000216514,610639.449356000055559
0,0,0,4074720.620000000111759,610637.193567999987863
1,1,1,4074718.441999999806285,610646.164864000049420
0,0,0,4074730.654370000120252,610650.054154000012204
0,0,0,4074741.751809999812394,610695.947776000015438
0,0,0,4074732.002660000231117,610675.801253000041470
0,0,0,4074741.674019999802113,610706.604429999948479
0,0,0,4074735.295590000227094,610728.021454000030644
0,0,0,4074724.690789999905974,610727.554739000042900
0,0,0,4074739.833089999854565,610741.841398000018671
0,0,0,4074730.965510000009090,610746.534473999985494
0,0,0,4074721.812719999812543,610745.782544999965467
0,0,0,4074737.525450000073761,610771.607429999974556
0,0,0,4074722.875789999961853,610765.773494999972172
0,0,0,4074740.299810000229627,610783.793871999951079
0,0,0,4074729.539439999964088,610801.010463000042364
0,0,0,4074718.623500000219792,610800.517818999942392
0,0,0,4074733.843590000178665,610826.576062000007369
0,0,0,4074724.768579999916255,610820.353197999997064
0,0,0,4074740.325739999767393,610835.184358000056818
1,1,1,4074736.929090000223368,610837.362360000028275
0,0,0,4074721.605289999861270,610839.073648000019602
1,0,0,4074736.851309999823570,610871.795540999970399
0,0,0,4074734.777019999921322,610908.925295999972150
0,0,0,4074733.713940000161529,610916.314947000006214
0,0,0,4074738.225519999861717,610945.847622000030242
0,0,0,4074728.943080000113696,610945.173478999990039
0,0,0,4074743.463099999818951,610984.636808000039309
0,0,0,4074729.176440000068396,610975.898870000033639
0,0,0,4074721.086720000021160,610976.495227999985218
0,0,0,4074737.006879999767989,611003.383186000050046
0,0,0,4074726.531719999853522,611002.164542000042275
1,0,0,4074742.400030000135303,611021.455420000012964
0,0,0,4074740.973950000014156,611026.459640000015497
0,0,0,4074730.732160000130534,611043.805872999946587
0,0,0,4074740.429450000170618,611072.975547999958508
0,0,0,4074730.006149999797344,611062.552250999957323
0,0,0,4074720.801500000059605,611060.244606000022031
0,0,0,4074734.336230000015348,611082.491343999980018
0,0,0,4074725.261220000218600,611090.658853000029922
1,1,1,4074740.429450000170618,611112.387020000023767
0,0,0,4074737.836589999962598,611116.405952999950387
0,0,0,4074725.702010000124574,611114.850237000035122
0,0,0,4074741.103600000031292,611134.555973000009544
0,0,0,4074731.017370000015944,611136.059832000057213
0,0,0,4074720.853360000066459,611150.268705000053160
0,0,0,4074733.117589999921620,611171.167156000039540
0,1,1,4074730.498800000175834,611176.689948000013828
0,0,0,4074721.449719999916852,611167.070438000024296
0,0,0,4074734.673299999907613,611193.854680999997072
0,0,0,4074701.977340000215918,610568.534635000047274
1,1,1,4074702.807049999944866,610581.913793000043370
1,1,1,4074700.940189999993891,610589.718300999957137
0,1,1,4074715.512070000171661,610621.740121999988332
1,1,1,4074699.410410000011325,610607.531250000000000
0,0,0,4074697.958409999962896,610596.693094999995083
1,1,1,4074713.126639999914914,610638.930783999967389
0,0,0,4074706.048130000010133,610647.979866000008769
1,1,1,4074698.476979999803007,610636.078637999948114
0,0,0,4074692.435610000044107,610630.970703999977559
1,1,1,4074700.732770000118762,610662.525810000021011
0,0,0,4074699.591909999959171,610667.374457999947481
0,0,0,4074714.811999999918044,610676.501325999968685
